Rank,Movie,Lifetime Gross,Year
638,The Little Mermaid (1989),111543479,1989
639,Mr. Peabody & Sherman (2014),111506430,2014
640,Porky's (1982),111289673,1982
641,The Last Samurai (2003),111127263,2003
642,Glass (2019),111048468,2019
643,Spy (2015),110825712,2015
644,Tropic Thunder (2008),110515313,2008
645,Godzilla: King of the Monsters (2019),110500138,2019
646,Valentine's Day (2010),110485654,2010
647,The Grudge (2004),110359362,2004
648,Fun with Dick and Jane (2005),110332737,2005
649,Freaky Friday (2003),110230332,2003
650,Trainwreck (2015),110212700,2015
651,Bedtime Stories (2008),110101975,2008
652,Scary Movie 3 (2003),110003217,2003
653,Creed (2015),109767581,2015
654,Star Trek IV: The Voyage Home (1986),109713132,1986
655,The 40-Year-Old Virgin (2005),109449237,2005
656,Crocodile Dundee II (1988),109306210,1988
657,Couples Retreat (2009),109204945,2009
658,One Flew Over the Cuckoo's Nest (1975),108981275,1975
659,A Time to Kill (1996),108766007,1996
660,Black Hawk Down (2001),108638745,2001
661,Terms of Endearment (1983),108423489,1983
662,Ace Ventura: When Nature Calls (1995),108385533,1995
663,The Upside (2019),108252517,2019
664,The Princess Diaries (2001),108248956,2001
665,Superman II (1981),108185706,1981
666,Little Women (2019),108101214,2019
667,Hop (2011),108085305,2011
668,Dune (2021),108031945,2021
669,Pulp Fiction (1994),107928762,1994
670,Paranormal Activity (2009),107918810,2009
671,Baby Driver (2017),107825862,2017
672,A League of Their Own (1992),107533928,1992
673,Epic (2013),107518682,2013
674,Watchmen (2009),107509799,2009
675,The Angry Birds Movie (2016),107509366,2016
676,Batman & Robin (1997),107353792,1997
677,Captain Phillips (2013),107100855,2013
678,Black Swan (2010),106954678,2010
679,Analyze This (1999),106885658,1999
680,Chicken Run (2000),106834564,2000
681,Miss Congeniality (2000),106807667,2000
682,Indecent Proposal (1993),106614059,1993
683,Driving Miss Daisy (1989),106593296,1989
684,300: Rise of an Empire (2014),106580051,2014
685,Love Story (1970),106550690,1970
686,GoldenEye (1995),106429941,1995
687,Kramer vs. Kramer (1979),106260000,1979
688,The Italian Job (2003),106128601,2003
689,How to Lose a Guy in 10 Days (2003),105813373,2003
690,The Lego Movie 2: The Second Part (2019),105806508,2019
691,The First Wives Club (1996),105489203,1996
692,Robin Hood (2010),105269730,2010
693,Interview with the Vampire: The Vampire Chronicles (1994),105264608,1994
694,George of the Jungle (1997),105263257,1997
695,Hustlers (2019),104963598,2019
696,The Graduate (1967),104945305,1967
697,Pitch Perfect 3 (2017),104897530,2017
698,Phenomenon (1996),104636382,1996
699,American Wedding (2003),104565114,2003
700,Road to Perdition (2002),104454762,2002
701,The Princess and the Frog (2009),104400899,2009
702,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),104386950,2010
703,Daddy Day Care (2003),104297061,2003
704,Daddy's Home 2 (2017),104029443,2017
705,Paranormal Activity 3 (2011),104028807,2011
706,Journey 2: The Mysterious Island (2012),103860290,2012
707,The Mule (2018),103804407,2018
708,Dick Tracy (1990),103738726,1990
709,Rise of the Guardians (2012),103412758,2012
710,Dreamgirls (2006),103365956,2006
711,9 to 5 (1980),103290500,1980
712,Independence Day: Resurgence (2016),103144286,2016
713,The Expendables (2010),103068524,2010
714,Scream (1996),103046663,1996
715,Just Go with It (2011),103028109,2011
716,Murder on the Orient Express (2017),102826543,2017
717,The General's Daughter (1999),102705852,1999
718,The Aviator (2004),102610330,2004
719,American Pie (1999),102561004,1999
720,Daredevil (2003),102543518,2003
721,The Girl with the Dragon Tattoo (2011),102515793,2011
722,The Mummy: Tomb of the Dragon Emperor (2008),102491776,2008
723,The Conjuring 2 (2016),102470008,2016
724,The Maze Runner (2014),102427862,2014
725,In the Line of Fire (1993),102314823,1993
726,Butch Cassidy and the Sundance Kid (1969),102308889,1969
727,Mary Poppins (1964),102272727,1964
728,Bambi (1942),102247150,1942
729,Annabelle: Creation (2017),102092201,2017
730,The Equalizer 2 (2018),102084362,2018
731,Bad Grandpa (2013),102003019,2013
732,Pacific Rim (2013),101802906,2013
733,Journey to the Center of the Earth (2008),101704370,2008
734,Gone in 60 Seconds (2000),101648571,2000
735,Maverick (1994),101631272,1994
736,Sleeping with the Enemy (1991),101599005,1991
737,The Equalizer (2014),101530738,2014
738,This Is the End (2013),101470202,2013
739,Eagle Eye (2008),101440743,2008
740,The Prince of Egypt (1998),101413188,1998
741,Scream 2 (1997),101363301,1997
742,Stir Crazy (1980),101300000,1980
743,Eraser (1996),101295562,1996
744,Noah (2014),101200044,2014
745,Unforgiven (1992),101157447,1992
746,The Cat in the Hat (2003),101149285,2003
747,Con Air (1997),101117573,1997
748,Sleepy Hollow (1999),101071502,1999
749,Rampage (2018),101028233,2018
750,Collateral (2004),101005703,2004
751,Contact (1997),100920329,1997
752,Godzilla vs. Kong (2021),100916094,2021
753,Charlie's Angels: Full Throttle (2003),100830111,2003
754,The Pelican Brief (1993),100768056,1993
755,The Addams Family (2019),100723831,2019
756,Vanilla Sky (2001),100618344,2001
757,Arrival (2016),100546139,2016
758,Due Date (2010),100539043,2010
759,Jumanji (1995),100499940,1995
760,The Rugrats Movie (1998),100494675,1998
761,Million Dollar Baby (2004),100492203,2004
762,Airport (1970),100489151,1970
763,A Wrinkle in Time (2018),100478608,2018
764,Step Brothers (2008),100468793,2008
765,Evan Almighty (2007),100462298,2007
766,Fifty Shades Freed (2018),100407760,2018
767,Casper (1995),100328194,1995
768,Shakespeare in Love (1998),100317794,1998
769,Bad Teacher (2011),100292856,2011
770,Yogi Bear (2010),100246011,2010
771,Cowboys & Aliens (2011),100240551,2011
772,Kingsman: The Golden Circle (2017),100234838,2017
773,Edge of Tomorrow (2014),100206256,2014
774,The Hunchback of Notre Dame (1996),100138851,1996
775,Se7en (1995),100125643,1995
776,Parenthood (1989),100047830,1989
777,You Don't Mess with the Zohan (2008),100018837,2008
778,Passengers (2016),100014699,2016
779,Die Hard with a Vengeance (1995),100012499,1995
780,Gnomeo & Juliet (2011),99967670,2011
781,Christopher Robin (2018),99215042,2018
782,Hercules (1997),99112101,1997
783,Olympus Has Fallen (2013),98925640,2013
784,The Green Hornet (2011),98780042,2011
785,Date Night (2010),98711404,2010
786,The Color Purple (1985),98467863,1985
787,Meet the Robinsons (2007),97822171,2007
788,Yes Man (2008),97690976,2008
789,Sausage Party (2016),97685686,2016
790,Inspector Gadget (1999),97403112,1999
791,Public Enemies (2009),97104620,2009
792,The Social Network (2010),96962694,2010
793,Schindler's List (1993),96898818,1993
794,Downton Abbey (2019),96854135,2019
795,The Others (2001),96522687,2001
796,Legally Blonde (2001),96520674,2001
797,Panic Room (2002),96397334,2002
798,Rocketman (2019),96368160,2019
799,Dead Poets Society (1989),95860116,1989
800,Zero Dark Thirty (2012),95720716,2012
801,Norbit  (2007),95673607,2007
802,Cold Mountain (2003),95636509,2003
803,Arthur (1981),95461682,1981
804,Sex and the City 2 (2010),95347692,2010
805,Michael (1996),95318203,1996
806,The Princess Diaries 2: Royal Engagement (2004),95170481,2004
807,42 (2013),95020213,2013
808,Unbreakable (2000),95011339,2000
809,Encanto (2021),95004134,2021
810,The Book of Eli (2010),94835059,2010
811,10000 BC (2008),94784201,2008
812,Beverly Hills Chihuahua (2008),94514402,2008
813,Saturday Night Fever (1977),94213184,1977
814,Julie & Julia (2009),94125426,2009
815,The Mask of Zorro (1998),94095523,1998
816,Maid in Manhattan (2002),94011225,2002
817,He's Just Not That Into You (2009),93953653,2009
818,Master and Commander: The Far Side of the World (2003),93927920,2003
819,Flight (2012),93772375,2012
820,The Fighter (2010),93617009,2010
821,America's Sweethearts (2001),93607673,2001
822,Lady and the Tramp (1955),93602326,1955
823,The Bucket List (2007),93466502,2007
824,Tomorrowland (2015),93436322,2015
825,The Magnificent Seven (2016),93432655,2016
826,Cats & Dogs (2001),93385515,2001
827,Space Station 3D (2002),93383953,2002
828,Two Weeks Notice (2002),93354851,2002
829,Red Dragon (2002),93149898,2002
830,Cinderella (1950),93141149,1950
831,When Harry Met Sally... (1989),93075866,1989
832,Elysium (2013),93050117,2013
833,Flubber (1997),92977226,1997
834,Flashdance (1983),92921203,1983
835,The Town (2010),92186262,2010
836,Non-Stop (2014),92168600,2014
837,The Client (1994),92115211,1994
838,Blade Runner 2049 (2017),92054159,2017
839,John Wick: Chapter 2 (2017),92029184,2017
840,Star Trek: First Contact (1996),92027888,1996
841,Halloween Kills (2021),92002155,2021
842,Think Like a Man (2012),91547205,2012
843,Kindergarten Cop (1990),91457688,1990
844,Heaven Is for Real (2014),91443253,2014
845,The Haunting (1999),91411151,1999
846,Crimson Tide (1995),91387195,1995
847,Back to School (1986),91258000,1986
848,Ride Along 2 (2016),91221830,2016
849,Stepmom (1998),91137662,1998
850,The Imitation Game (2014),91125683,2014
851,The Karate Kid (1984),91077276,1984
852,Save the Last Dance (2001),91057006,2001
853,The Scorpion King (2002),91047077,2002
854,Prince of Persia: The Sands of Time (2010),90759676,2010
855,Antz (1998),90757863,1998
856,Scary Movie 4 (2006),90710620,2006
857,The Game Plan (2007),90648202,2007
858,Me Myself & Irene (2000),90570999,2000
859,High School Musical 3: Senior Year (2008),90559416,2008
860,Madea Goes to Jail (2009),90508336,2009
861,Space Cowboys (2000),90464773,2000
862,Space Jam (1996),90418342,1996
863,Get Hard (2015),90411453,2015
864,Trading Places (1983),90404800,1983
865,RED (2010),90380162,2010
866,Planes (2013),90288712,2013
867,Legally Blonde 2: Red White & Blonde (2003),90186328,2003
868,Mystic River (2003),90135191,2003
869,Terminator Genisys (2015),89760956,2015
870,Flightplan (2005),89707299,2005
871,The Emperor's New Groove (2000),89636687,2000
872,Father of the Bride (1991),89325780,1991
873,The Lone Ranger (2013),89302115,2013
874,Taken 3 (2015),89256424,2015
875,Don't Breathe (2016),89217875,2016
876,Scream 3 (2000),89143175,2000
877,Oblivion (2013),89107235,2013
878,The Ugly Truth (2009),88915214,2009
879,Percy Jackson & the Olympians: The Lightning Thief (2010),88768303,2010
880,Failure to Launch (2006),88715192,2006
881,The Muppets (2011),88631237,2011
882,Inside Man (2006),88513495,2006
883,Back to the Future Part III (1990),88277583,1990
884,Waterworld (1995),88246220,1995
885,Starsky & Hutch (2004),88237754,2004
886,Along Came Polly (2004),88097164,2004
887,The Hand that Rocks the Cradle (1992),88036683,1992
888,Entrapment (1999),87704396,1999
889,Peter Pan (1953),87404651,1953
890,Pineapple Express (2008),87341380,2008
891,Miss Peregrine's Home for Peculiar Children (2016),87242834,2016
892,Everest (1998),87178599,1998
893,Out of Africa (1985),87071205,1985
894,Sisters (2015),87044645,2015
895,Saw II (2005),87039965,2005
896,The Naked Gun 2½: The Smell of Fear (1991),86930411,1991
897,The Campaign (2012),86907746,2012
898,The War of the Roses (1989),86888546,1989
899,The Amityville Horror (1979),86432000,1979
900,Presumed Innocent (1990),86303188,1990
901,Young Frankenstein (1974),86273333,1974
902,The Accountant (2016),86260045,2016
903,Dumb and Dumber To (2014),86208010,2014
904,Cruella (2021),86103234,2021
905,The Emoji Movie (2017),86089513,2017
906,Mean Girls (2004),86058055,2004
907,Annie (2014),85911262,2014
908,Alvin and the Chipmunks: The Road Chip (2015),85886987,2015
909,Spy Kids 2: Island of Lost Dreams (2002),85846429,2002
910,Alita: Battle Angel (2019),85838210,2019
911,Fury (2014),85817906,2014
912,Pokémon: The First Movie - Mewtwo Strikes Back (1999),85744662,1999
913,Real Steel (2011),85468508,2011
914,The SpongeBob SquarePants Movie (2004),85417988,2004
915,Power Rangers (2017),85364450,2017
916,Brother Bear (2003),85336277,2003
917,Stripes (1981),85297000,1981
918,Anchorman: The Legend of Ron Burgundy (2004),85288303,2004
919,Every Which Way but Loose (1978),85196485,1978
920,Rocky II (1979),85182160,1979
921,Aliens (1986),85160248,1986
922,Open Season (2006),85105259,2006
923,Green Book (2018),85080171,2018
924,The Expendables 2 (2012),85028192,2012
925,Dangerous Minds (1995),84919401,1995
926,Paranormal Activity 2 (2010),84752907,2010
927,Steel Magnolias (1989),84614512,1989
928,The Poseidon Adventure (1972),84563118,1972
929,Tammy (2014),84525432,2014
930,The Santa Clause 3: The Escape Clause (2006),84500122,2006
931,Ferdinand (2017),84410380,2017
932,Crazy Stupid Love. (2011),84351197,2011
933,Annabelle (2014),84273813,2014
934,Pinocchio (1940),84254167,1940
935,Scooby-Doo 2: Monsters Unleashed (2004),84216833,2004
936,Birds of Prey (2020),84158461,2020
937,Atlantis: The Lost Empire (2001),84056472,2001
938,Cliffhanger (1993),84049211,1993
939,The Other Woman (2014),83911193,2014
940,The X Files (1998),83898313,1998
941,Penguins of Madagascar (2014),83850911,2014
942,Die Hard (1988),83844093,1988
943,Up in the Air (2009),83823381,2009
944,Wrath of the Titans (2012),83670083,2012
945,Insidious: Chapter 2 (2013),83586447,2013
946,Under Siege (1992),83563139,1992
947,Battle Los Angeles (2011),83552429,2011
948,Immortals (2011),83504017,2011
949,I Can Only Imagine (2018),83482352,2018
950,Apocalypse Now (1979),83471511,1979
951,Airplane! (1980),83453539,1980
952,Patriot Games (1992),83351587,1992
953,Saving Mr. Banks (2013),83301580,2013
954,Smallfoot (2018),83240103,2018
955,Good Boys (2019),83140306,2019
956,Valkyrie (2008),83077833,2008
957,Brokeback Mountain (2005),83043761,2005
958,Turbo (2013),83028128,2013
959,Disclosure (1994),83015089,1994
960,Charlotte's Web (2006),82985708,2006
961,Monster-in-Law (2005),82931301,2005
962,Are We There Yet? (2005),82674398,2005
963,Days of Thunder (1990),82670733,1990
964,Freddy vs. Jason (2003),82622655,2003
965,Star Trek: The Motion Picture (1979),82604699,1979
966,The Descendants (2011),82584160,2011
967,Cheaper by the Dozen 2 (2005),82571173,2005
968,Mr. Holland's Opus (1995),82569971,1995
969,Bram Stoker's Dracula (1992),82522790,1992
970,Fried Green Tomatoes (1991),82418501,1991
971,Let's Be Cops (2014),82390774,2014
972,Blade II (2002),82348319,2002
973,Beowulf (2007),82280579,2007
974,Bridge to Terabithia (2007),82272442,2007
975,The Pink Panther (2006),82226474,2006
976,Teenage Mutant Ninja Turtles: Out of the Shadows (2016),82051601,2016
977,The Post (2017),81903458,2017
978,Alien (1979),81900459,1979
979,Jaws 2 (1978),81766007,1978
980,Maze Runner: The Scorch Trials (2015),81697192,2015
981,Heaven Can Wait (1978),81640278,1978
982,Eight Below (2006),81612565,2006
983,MASH (1970),81600000,1970
984,Unstoppable (2010),81562942,2010
985,Payback (1999),81526121,1999
986,Ted 2 (2015),81476385,2015
987,The Talented Mr. Ripley (1999),81298265,1999
988,School of Rock (2003),81261177,2003
989,Police Academy (1984),81198894,1984
990,Snow Dogs (2002),81172560,2002
991,21 (2008),81159365,2008
992,While You Were Sleeping (1995),81057016,1995
993,Congo (1995),81022101,1995
994,The Notebook (2004),81001787,2004
995,Jimmy Neutron: Boy Genius (2001),80936232,2001
996,Another 48 Hrs. (1990),80818974,1990
997,Moonstruck (1987),80640528,1987
998,Eat Pray Love (2010),80574010,2010
999,The Texas Chainsaw Massacre (2003),80571655,2003
1000,Zookeeper (2011),80360843,2011
