Rank,Movie,Lifetime Gross,Year
135,Toy Story 2 (1999),245852179,1999
136,Transformers: Age of Extinction (2014),245439076,2014
137,Cars (2006),244082982,2006
138,Ghostbusters (1984),243578797,1984
139,Bruce Almighty (2003),242829261,2003
140,Twister (1996),241721524,1996
141,My Big Fat Greek Wedding (2002),241438208,2002
142,Maleficent (2014),241410378,2014
143,Pirates of the Caribbean: On Stranger Tides (2011),241071802,2011
144,Shrek Forever After (2010),238736787,2010
145,Fast & Furious 6 (2013),238679850,2013
146,Brave (2012),237283207,2012
147,Oz the Great and Powerful (2013),234911825,2013
148,Beverly Hills Cop (1984),234760478,1984
149,X-Men: The Last Stand (2006),234362462,2006
150,War of the Worlds (2005),234280354,2005
151,Fantastic Beasts and Where to Find Them (2016),234037575,2016
152,X-Men: Days of Future Past (2014),233921534,2014
153,Cast Away (2000),233632142,2000
154,The Exorcist (1973),232906145,1973
155,Doctor Strange (2016),232641920,2016
156,The Lost World: Jurassic Park (1997),229086679,1997
157,Justice League (2017),229024295,2017
158,Star Trek Into Darkness (2013),228778661,2013
159,The Martian (2015),228433663,2015
160,Signs (2002),227966634,2002
161,Hancock (2008),227946274,2008
162,The Bourne Ultimatum (2007),227471070,2007
163,Logan (2017),226277068,2017
164,Rush Hour 2 (2001),226164286,2001
165,The Fate of the Furious (2017),226008385,2017
166,Shang-Chi and the Legend of the Ten Rings (2021),224543292,2021
167,WALL·E (2008),223808164,2008
168,Toy Story (1995),223225679,1995
169,Big Hero 6 (2014),222527828,2014
170,Mission: Impossible - Fallout (2018),220159104,2018
171,National Treasure: Book of Secrets (2007),219964115,2007
172,Alvin and the Chipmunks: The Squeakquel (2009),219614612,2009
173,Mrs. Doubtfire (1993),219195243,1993
174,Beauty and the Beast (1991),218967620,1991
175,Ted (2012),218815487,2012
176,King Kong (2005),218080025,2005
177,Ghost (1990),217631306,1990
178,How to Train Your Dragon (2010),217581231,2010
179,The Da Vinci Code (2006),217536138,2006
180,Aladdin (1992),217350219,1992
181,Alvin and the Chipmunks (2007),217326974,2007
182,Saving Private Ryan (1998),217049603,1998
