Rank,Name,Industry,Sector,Headquarters,Revenue,% Change,Profit,Asset,Market Value,Employees
366,S&P Global,Financial Data Services,Business Services,"New York, NY",$11.18,35%,$3.25,$61.78,$113.07,39950
367,W.R. Berkley,Insurance: Property and Casualty (Stock),Financials,"Greenwich, CT",$11.17,18%,$1.38,$33.86,$16.40,8186
368,Advance Auto Parts,Specialty Retailers: Other,Retailing,"Raleigh, NC",$11.16,1%,$0.50,$12.02,$7.21,53500
369,EMCOR Group,Engineering & Construction,Engineering & Construction,"Norwalk, CT",$11.08,12%,$0.41,$5.52,$7.75,35500
370,Williams,Pipelines,Energy,"Tulsa, OK",$10.96,3%,$2.05,$48.43,$36.39,5043
371,Interpublic Group,"Advertising, Marketing",Business Services,"New York, NY",$10.93,7%,$0.94,$18.84,$14.34,58400
372,TravelCenters of America,Specialty Retailers: Other,Retailing,"Westlake, OH",$10.84,48%,$0.16,$3.65,$1.31,17195
373,American Tower,Real Estate,Financials,"Boston, MA",$10.71,14%,$1.77,$67.19,$95.15,6391
374,Molson Coors Beverage,Beverages,"Food, Beverages & Tobacco","Chicago, IL",$10.70,4%,$0.18,$25.87,$11.36,16600
375,Huntington Ingalls Industries,Aerospace & Defense,Aerospace & Defense,"Newport News, VA",$10.68,12%,$0.58,$10.86,$8.26,43000
376,NVR,Homebuilders,Engineering & Construction,"Reston, VA",$10.58,18%,$1.73,$5.66,$18.10,6550
377,Eastman Chemical,Chemicals,Chemicals,"Kingsport, TN",$10.58,1%,$0.79,$14.67,$10.05,14500
378,Graybar Electric,Wholesalers: Diversified,Wholesalers,"St. Louis, MO",$10.53,20%,$0.45,$3.75,,9400
379,Insight Enterprises,Information Technology Services,Technology,"Chandler, AZ",$10.43,11%,$0.28,$5.11,$4.83,13448
380,Hershey,Food Consumer Products,"Food, Beverages & Tobacco","Hershey, PA",$10.42,16%,$1.64,$10.95,$51.91,18970
381,News Corp.,"Publishing, Printing",Media,"New York, NY",$10.38,11%,$0.62,$17.22,$9.97,25500
382,Toll Brothers,Homebuilders,Engineering & Construction,"Fort Washington, PA",$10.28,17%,$1.29,$12.29,$6.65,5200
383,Ulta Beauty,Specialty Retailers: Other,Retailing,"Bolingbrook, IL",$10.21,18%,$1.24,$5.37,$27.39,35750
384,Assurant,Insurance: Property and Casualty (Stock),Financials,"Atlanta, GA",$10.19,-11%,$0.28,$33.12,$6.35,13700
385,Weyerhaeuser,Forest and Paper Products,Materials,"Seattle, WA",$10.18,0%,$1.88,$17.34,$22.08,9264
386,Biogen,Pharmaceuticals,Health Care,"Cambridge, MA",$10.17,-7%,$3.05,$24.55,$40.17,8725
387,Dana,Motor Vehicles & Parts,Motor Vehicles & Parts,"Maumee, OH",$10.16,14%,$0.24,$7.45,$2.17,41800
388,UGI,Utilities: Gas and Electric,Energy,"King of Prussia, PA",$10.11,36%,$1.07,$17.58,$7.28,10000
389,Chewy,Internet Services and Retailing,Retailing,"Plantation, FL",$10.10,14%,$0.05,$2.52,$15.96,19400
390,Owens & Minor,Wholesalers: Health Care,Health Care,"Mechanicsville, VA",$9.96,2%,$0.02,$5.39,$1.11,22500
391,Quest Diagnostics,Health Care: Pharmacy and Other Services,Health Care,"Secaucus, NJ",$9.88,-8%,$0.95,$12.84,$15.75,44500
392,Public Service Enterprise Group,Utilities: Gas and Electric,Energy,"Newark, NJ",$9.80,1%,$1.03,$48.72,$31.15,12525
393,eBay,Internet Services and Retailing,Technology,"San Jose, CA",$9.80,-21%,$1.27,$20.85,$23.82,11600
394,MasTec,Engineering & Construction,Engineering & Construction,"Coral Gables, FL",$9.78,23%,$0.03,$9.29,$7.44,32000
395,Owens Corning,"Building Materials, Glass",Materials,"Toledo, OH",$9.76,15%,$1.24,$10.75,$8.70,19000
396,Celanese,Chemicals,Chemicals,"Irving, TX",$9.67,13%,$1.89,$26.27,$12.07,13263
397,Altice USA,Telecommunications,Telecommunications,"Long Island City, NY",$9.65,-4%,$0.20,$33.66,$1.56,11000
398,Alaska Air Group,Airlines,Transportation,"Seattle, WA",$9.65,(No previous year),$0.06,$14.19,$5.35,24196
399,SpartanNash,Wholesalers: Food and Grocery,Wholesalers,"Byron Center, MI",$9.64,8%,$0.04,$2.31,$0.87,14000
400,Diamondback Energy,"Mining, Crude-Oil Production",Energy,"Midland, TX",$9.64,42%,$4.39,$26.21,$24.82,972
401,Intercontinental Exchange,Securities,Financials,"Atlanta, GA",$9.64,5%,$1.45,$194.34,$58.37,8911
402,Darden Restaurants,Food Services,"Hotels, Restaurants & Leisure","Orlando, FL",$9.63,34%,$0.95,$10.14,$18.88,178956
403,UFP Industries,"Building Materials, Glass",Materials,"Grand Rapids, MI",$9.63,11%,$0.69,$3.67,$4.96,15500
404,WEC Energy Group,Utilities: Gas and Electric,Energy,"Milwaukee, WI",$9.60,15%,$1.41,$41.87,$29.90,7022
