id,continent
49545,Africa
29947,Antarctica
13010,Antarctica
35338,Africa
24456,Antarctica
25337,Antarctica
26325,Antarctica
6230,Africa
25667,Antarctica
25666,Antarctica
13562,Antarctica
38913,Africa
33126,Africa
29059,Antarctica
39518,Africa
30495,North America
17432,Africa
49842,Antarctica
3901,Antarctica
13387,Antarctica
45884,Asia
54155,Africa
18461,Antarctica
19251,Antarctica
1632,Antarctica
21614,Antarctica
53994,Africa
49616,Africa
49737,Antarctica
1424,Antarctica
19468,Antarctica
11077,Antarctica
56906,Africa
9349,Antarctica
19836,Antarctica
23885,Asia
12831,Antarctica
12139,Asia
40256,Africa
27327,Antarctica
55003,Africa
46749,Antarctica
1016,Antarctica
3775,Antarctica
24972,Africa
17009,North America
55497,Asia
56208,Asia
30252,Antarctica
46984,Antarctica
55253,Africa
22412,Antarctica
8330,Antarctica
20282,Antarctica
52088,Africa
22388,North America
9684,Antarctica
20139,Antarctica
29357,Antarctica
7284,Asia
6353,Africa
4670,Antarctica
25858,Antarctica
54032,Africa
48326,Antarctica
5437,Australia
1329,Antarctica
20232,Antarctica
39699,Africa
100,Africa
21753,Antarctica
15927,Antarctica
1152,Antarctica
3848,Antarctica
50572,Antarctica
10388,Antarctica
46866,Antarctica
13837,Antarctica
22712,North America
18419,Antarctica
13880,Antarctica
14124,Antarctica
56726,Africa
28573,Antarctica
33600,Africa
8255,Antarctica
16271,Antarctica
21511,Antarctica
705,Antarctica
6181,Africa
29900,Antarctica
47945,Antarctica
10962,Antarctica
52163,Africa
26084,Antarctica
10280,Antarctica
54103,Africa
13477,Antarctica
30592,Antarctica
12154,Asia
46774,Antarctica
13530,Antarctica
19272,Antarctica
7089,Asia
18702,Antarctica
55062,Africa
487,Antarctica
20602,Antarctica
35506,Asia
14162,Antarctica
45912,Asia
4597,Antarctica
9923,Antarctica
24624,Antarctica
13463,Antarctica
51108,Africa
11005,Antarctica
19400,Antarctica
54037,Africa
56413,Asia
16147,Antarctica
6063,Africa
11434,Asia
15828,Antarctica
22727,North America
49453,Africa
10473,Antarctica
24174,Europe
30606,Antarctica
23562,Asia
26661,Antarctica
40038,Africa
1958,Antarctica
8301,Antarctica
5345,Asia
29510,Antarctica
4153,Antarctica
12321,North America
26848,Antarctica
18658,Antarctica
14224,Antarctica
8005,Antarctica
8851,Antarctica
4808,Antarctica
5482,North America
4292,Antarctica
1532,Antarctica
53616,Africa
12406,South America
44854,Africa
28791,Antarctica
56391,North America
40567,Africa
52154,Africa
38734,Africa
24300,Antarctica
29213,Antarctica
38536,Africa
9523,Antarctica
29811,Antarctica
52354,Africa
4306,Antarctica
24555,Antarctica
1511,Antarctica
6567,Africa
27290,Antarctica
13817,Antarctica
29663,Antarctica
54896,Africa
23731,Australia
35595,Asia
27180,Antarctica
18168,Antarctica
13326,Antarctica
30537,Asia
47803,Antarctica
53008,Africa
18591,Antarctica
28943,Antarctica
24070,North America
186,Africa
5071,North America
9739,Antarctica
38765,Africa
18235,Antarctica
55101,Africa
2493,Antarctica
919,Antarctica
8699,Antarctica
4495,Antarctica
23251,Asia
17941,Australia
54012,Africa
27318,Antarctica
5967,Africa
315,Africa
15382,Europe
18860,Europe
24407,Antarctica
7969,Antarctica
56200,Asia
54588,Africa
51903,Asia
56982,Africa
50362,Antarctica
20003,Antarctica
53199,Africa
27079,Antarctica
11933,Australia
28825,Antarctica
24813,Africa
30548,Asia
4216,Antarctica
38837,Africa
14350,Antarctica
12304,Asia
25312,Antarctica
56574,Africa
45906,Asia
28243,Antarctica
55983,Africa
15485,Europe
54630,South America
24860,Africa
10264,Antarctica
23847,Africa
20458,Antarctica
29281,Antarctica
1561,Antarctica
39317,Africa
9795,Antarctica
1563,Antarctica
9942,Antarctica
56859,Africa
54366,Africa
29437,Antarctica
24591,Antarctica
18826,North America
4089,Antarctica
46638,Antarctica
28686,Antarctica
57046,Africa
51997,Asia
2298,Asia
47745,Antarctica
54855,Europe
12241,Asia
14157,Antarctica
54203,Africa
25780,Antarctica
1387,Antarctica
29746,Antarctica
53132,Africa
38985,Africa
19802,Antarctica
5410,North America
1541,Antarctica
55655,Asia
16254,Antarctica
8465,Antarctica
7153,Asia
49857,Antarctica
11262,Antarctica
15635,Antarctica
30340,Antarctica
10030,North America
9692,Antarctica
57414,Africa
8949,Antarctica
2551,Antarctica
48218,Antarctica
50467,Antarctica
56694,South America
25031,Antarctica
55883,Africa
54872,Africa
49418,Africa
25217,Antarctica
10721,Antarctica
28928,Antarctica
21359,Antarctica
18969,Antarctica
47229,Africa
23953,Antarctica
12593,Antarctica
6899,Asia
13980,Antarctica
26022,Antarctica
38242,Africa
15519,Antarctica
15252,Antarctica
28860,Antarctica
19180,Antarctica
26547,Antarctica
18718,Antarctica
12853,Antarctica
9596,Antarctica
40673,Africa
16883,Africa
20758,Antarctica
19901,Antarctica
55605,Africa
26048,Antarctica
33530,Africa
9796,Antarctica
55403,Asia
7166,Asia
9885,Antarctica
24375,Antarctica
50329,Antarctica
9555,Antarctica
21889,Antarctica
23628,Australia
11557,Africa
803,Antarctica
16724,Australia
23186,Asia
23129,South America
20721,Antarctica
48252,Antarctica
54238,Africa
19844,Antarctica
24100,North America
15952,Antarctica
38728,Africa
54525,Africa
48215,Antarctica
7019,Asia
55080,Africa
29263,Antarctica
56485,Asia
53925,Africa
22540,North America
1789,Antarctica
34547,Asia
27166,Antarctica
40477,Africa
54360,Africa
8384,Antarctica
14435,Antarctica
11128,Antarctica
5386,North America
31877,Africa
54102,Africa
12218,Europe
1261,Antarctica
38015,Africa
11292,Antarctica
6626,Australia
21950,Antarctica
55152,Africa
26461,Antarctica
10406,Antarctica
13000,Antarctica
29567,Antarctica
39697,Africa
28605,Antarctica
40337,Africa
24294,Antarctica
14259,Antarctica
20020,Antarctica
19477,Antarctica
49973,Antarctica
12303,Africa
5584,Africa
16203,Antarctica
5026,North America
53954,Africa
27879,Antarctica
17153,Africa
45939,Asia
51508,Africa
49982,Antarctica
25281,Antarctica
25266,Antarctica
40070,Africa
35488,North America
25686,Antarctica
12364,Europe
57292,South America
6093,Africa
30330,Antarctica
5356,Africa
11064,Antarctica
11537,Africa
20446,Antarctica
38626,Africa
7789,Africa
21162,Antarctica
25238,Antarctica
40072,Africa
20804,Antarctica
28663,Antarctica
50605,Antarctica
54970,Africa
11551,Africa
17008,Australia
9757,Antarctica
9630,Antarctica
7233,Asia
50708,Africa
55214,Africa
55242,Africa
16180,Antarctica
29397,Antarctica
37743,Africa
15979,Antarctica
23561,Asia
1502,Antarctica
15303,Antarctica
4376,Antarctica
52002,Asia
23755,North America
52367,Africa
16452,Antarctica
12956,Antarctica
16766,Australia
3810,Antarctica
50981,Australia
10669,Antarctica
53257,Africa
12852,Antarctica
25252,Antarctica
26062,Antarctica
29245,Antarctica
16405,Antarctica
14845,Antarctica
54625,South America
38128,Africa
35624,Asia
33098,Africa
5153,North America
40689,Africa
11658,Africa
53998,Africa
2256,Antarctica
19569,Antarctica
14064,Antarctica
15348,Antarctica
26679,Antarctica
7575,Asia
54252,Africa
3449,Antarctica
23869,Africa
53017,Africa
39014,Africa
7882,Antarctica
51322,Africa
25081,Antarctica
1498,Antarctica
91,Africa
50727,Africa
50147,Antarctica
28709,Antarctica
49726,Antarctica
22264,Antarctica
5098,Asia
26191,Antarctica
21525,Antarctica
10133,Australia
55433,Asia
27021,Antarctica
49856,Antarctica
18858,Asia
27276,Antarctica
46732,Antarctica
9100,Antarctica
9409,Antarctica
22039,Antarctica
40211,Africa
61,Africa
25083,Antarctica
48321,Antarctica
12499,Antarctica
46445,Antarctica
38946,Africa
57297,South America
11517,Africa
27298,Antarctica
10410,Antarctica
22344,Antarctica
4596,Antarctica
22030,Antarctica
14248,Antarctica
29659,Antarctica
8823,Antarctica
22295,Antarctica
9248,Antarctica
21028,Antarctica
8449,Antarctica
56635,South America
24922,Africa
55260,Africa
12658,Antarctica
51164,Africa
51615,Asia
6025,Africa
1991,Antarctica
7948,Antarctica
30361,Australia
24056,North America
46515,Antarctica
24936,Africa
45563,Africa
39990,Africa
21606,Antarctica
29779,Antarctica
21678,Antarctica
29969,Antarctica
9560,Antarctica
25834,Antarctica
5382,
26510,Antarctica
16065,Antarctica
46822,Antarctica
29355,Antarctica
18437,Antarctica
21546,Antarctica
8037,Antarctica
18978,Antarctica
11436,Asia
8828,Antarctica
22207,Antarctica
30050,Antarctica
6382,Africa
51792,Africa
4518,Antarctica
24746,Antarctica
29924,Antarctica
11131,Antarctica
14103,Antarctica
53147,Africa
22574,Australia
4717,Antarctica
4090,Antarctica
6114,Africa
48505,Antarctica
49490,Africa
55704,South America
23599,North America
56654,Africa
15001,Antarctica
13196,Antarctica
21037,Antarctica
1815,Antarctica
18153,Antarctica
26341,Antarctica
20315,Antarctica
26427,Antarctica
19417,Antarctica
7605,Asia
24296,Antarctica
26505,Antarctica
25042,Antarctica
16736,North America
13034,Antarctica
7774,Africa
894,Antarctica
21132,Antarctica
4260,Antarctica
5542,Africa
46423,Antarctica
2689,Antarctica
8458,Antarctica
342,Africa
2255,Antarctica
38937,Africa
27868,Antarctica
1437,Antarctica
21349,Antarctica
28496,Antarctica
23763,North America
16558,Antarctica
7593,Asia
29985,Antarctica
28149,Antarctica
7472,Asia
28471,Antarctica
11606,Africa
18488,Antarctica
32840,Africa
29274,Antarctica
19,Africa
3788,Antarctica
56494,Asia
55132,Africa
7963,Antarctica
53010,Africa
12999,Antarctica
20887,Antarctica
5093,North America
48446,Antarctica
51669,Asia
18405,Antarctica
935,Antarctica
49723,Antarctica
47962,Antarctica
6745,Asia
24430,Antarctica
4479,Antarctica
22577,Australia
55844,Africa
50616,Antarctica
21106,Antarctica
23646,Europe
18872,North America
48273,Antarctica
8570,Antarctica
17817,Africa
14096,Antarctica
26594,Antarctica
6552,Africa
6088,Africa
25596,Antarctica
46508,Antarctica
13669,Antarctica
28452,Antarctica
8882,Antarctica
6187,Africa
20119,Antarctica
18620,Antarctica
6456,Africa
29530,Antarctica
11742,Africa
47903,Antarctica
25957,Antarctica
20298,Antarctica
936,Antarctica
56155,Europe
27115,Antarctica
57310,South America
20665,Antarctica
19025,Antarctica
57105,Africa
9161,Antarctica
2591,Antarctica
29495,Antarctica
19792,Antarctica
16956,North America
52264,Africa
21685,Antarctica
19325,Antarctica
29070,Antarctica
17972,North America
16812,Antarctica
7445,Asia
48579,Asia
9489,Antarctica
54064,Africa
47323,Africa
25276,Antarctica
55490,Asia
1940,Antarctica
24906,Africa
12021,Africa
12535,Antarctica
48576,Asia
57030,Africa
8051,Antarctica
16803,Australia
23423,Asia
46609,Antarctica
9480,Antarctica
949,Antarctica
22056,Antarctica
12565,Antarctica
4149,Antarctica
49827,Antarctica
9803,Antarctica
24319,Australia
8184,Antarctica
50674,Asia
16214,Antarctica
38448,Africa
28372,Antarctica
7900,Antarctica
29358,Antarctica
28484,Antarctica
52008,Asia
