URI,Album,Song Name,Artist,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
2eAvDnpXP5W0cVtiI0PUxV,Safe Haven,Dandelions,Ruth B.,1,2,90,False,0.609,0.6920000000000001,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.45399999999999996,116.959,233720,3
0nJW01T7XtvILxQgC5J7Wh,Unorthodox Jukebox,When I Was Your Man,Bruno Mars,1,6,89,False,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.08800000000000001,0.387,72.795,213827,4
0pqnGHJpmpxLKifKRmU6WP,Evolve,Believer,Imagine Dragons,1,4,89,False,0.7759999999999999,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.6659999999999999,124.949,204347,4
5FVd6KXrgO9B3JPmC8OPst,AM,Do I Wanna Know?,Arctic Monkeys,1,1,90,False,0.5479999999999999,0.532,5,-7.596,1,0.0323,0.18600000000000003,0.000263,0.217,0.405,85.03,272394,4
3EaJDYHA0KnX88JvDhL9oa,Dark Red,Dark Red,Steve Lacy,1,1,89,False,0.603,0.784,6,-4.023,1,0.062,0.446,8.32e-06,0.11900000000000001,0.769,172.041,173104,4
7lQ8MOhq6IN2w8EYcFNSUk,The Eminem Show,Without Me,Eminem,1,10,89,True,0.9079999999999999,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,290320,4
0tgVpDi06FyKpA1z0VMD4v,÷ (Deluxe),Perfect,Ed Sheeran,1,5,89,False,0.599,0.44799999999999995,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3
0JXXNGljqupsJaZsgSbMZV,All I Want Is You,Sure Thing,Miguel,1,1,89,False,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,195373,4
1JSTJqkT5qHq8MDJnJbRE1,Synchronicity (Remastered 2003),Every Breath You Take,The Police,1,7,89,False,0.82,0.452,1,-9.796,1,0.0348,0.5429999999999999,0.00294,0.0714,0.74,117.40100000000001,253920,4
1zi7xx7UVEFkmKfv06H8x0,Views,One Dance,Drake; Wizkid; Kyla,1,12,89,False,0.792,0.625,1,-5.609,1,0.0536,0.0077599999999999995,0.0018,0.32899999999999996,0.37,103.96700000000001,173987,4
7DSAEUvxU8FajXtRloy8M0,Endless Summer Vacation,Flowers,Miley Cyrus,1,1,89,False,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.04799999999999,200600,4
70LcF31zb1H0PyJoS1Sx1r,Pablo Honey,Creep,Radiohead,1,2,89,True,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.10400000000000001,91.844,238640,4
0KKkJNfGyhkQ5aFogxQAPU,24K Magic,That's What I Like,Bruno Mars,1,4,89,False,0.853,0.56,1,-4.961,1,0.0406,0.013000000000000001,0.0,0.0944,0.86,134.066,206693,4
6UelLqGlWMcVH1E5c4H7lY,Fine Line,Watermelon Sugar,Harry Styles,1,2,89,False,0.5479999999999999,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
5QO79kh1waicV47BqGRL3g,After Hours,Save Your Tears,The Weeknd,1,11,89,True,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.5429999999999999,0.644,118.051,215627,4
561jH07mF1jHuk7KlaeF0s,Encore (Deluxe Version),Mockingbird,Eminem,1,16,89,True,0.637,0.6779999999999999,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,250760,4
21jGcNKet2qwijlDFuPiPb,Hollywood's Bleeding,Circles,Post Malone,1,6,89,False,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,215280,4
5O2P9iiztwhomNh8xkR9lJ,FOUR (Deluxe),Night Changes,One Direction,1,7,88,False,0.672,0.52,8,-7.747000000000001,1,0.0353,0.8590000000000001,0.0,0.115,0.37,120.001,226600,4
6HU7h9RYOaPRFeh0R3UeAr,SOUR,deja vu,Olivia Rodrigo,1,5,88,True,0.442,0.612,2,-7.222,1,0.11199999999999999,0.584,5.7000000000000005e-06,0.37,0.17800000000000002,180.917,215507,4
7qiZfU4dY1lWllzX7mPBI3,÷ (Deluxe),Shape of You,Ed Sheeran,1,4,88,False,0.825,0.652,1,-3.1830000000000003,0,0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977,233713,4
2WfaOiMkCvy7F5fcp2zZ8L,Hunting High and Low,Take on Me,a-ha,1,1,88,False,0.573,0.902,6,-7.638,0,0.054000000000000006,0.018000000000000002,0.00125,0.0928,0.8759999999999999,84.412,225280,4
0ofHAoxe9vBkTCp2UQIavz,Rumours (Super Deluxe),Dreams - 2004 Remaster,Fleetwood Mac,1,2,88,False,0.828,0.49200000000000005,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.15100000000001,257800,4
3k3NWokhRRkEPhCzPmV8TW,Un Verano Sin Ti,Ojitos Lindos,Bad Bunny; Bomba Estéreo,1,14,88,False,0.647,0.6859999999999999,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida or Death and All His Friends,Viva La Vida,Coldplay,1,7,88,False,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.41700000000000004,138.015,242373,4
5IgjP7X4th6nMNDh4akUHb,Indigo (Extended),Under The Influence,Chris Brown,1,3,88,True,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,184613,4
7fBv7CLKzipRk6EC6TWHOB,Beauty Behind The Madness,The Hills,The Weeknd,1,5,88,True,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.13699999999999998,113.00299999999999,242253,4
4SqWKzw0CbA05TGszDgMlc,I Love You So,I Love You So,The Walters,1,1,88,False,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,160240,4
3yfqSUWxFvZELEM4PmlwIR,The Marshall Mathers LP,The Real Slim Shady,Eminem,1,8,88,True,0.9490000000000001,0.6609999999999999,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.50399999999999,284200,4
5CZ40GBx1sQ9agT82CLQCT,SOUR,traitor,Olivia Rodrigo,1,2,88,False,0.38,0.33899999999999997,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.60700000000001,229227,4
7snQQk1zcKl8gZ92AnueZW,Appetite For Destruction,Sweet Child O' Mine,Guns N' Roses,1,9,88,True,0.446,0.9520000000000001,6,-5.321000000000001,1,0.0523,0.0901,0.0857,0.11199999999999999,0.624,125.303,356067,4
5uCax9HTNlzGybIStD3vDh,Back from the Edge,Say You Won't Let Go,James Arthur,1,2,88,False,0.358,0.557,10,-7.398,1,0.059000000000000004,0.695,0.0,0.0902,0.494,85.04299999999999,211467,4
0nrRP2bk19rLc0orkWPQk2,True,Wake Me Up,Avicii,1,1,88,False,0.532,0.7829999999999999,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4
60a0Rd6pjrkxjPbaKzXjfq,Hybrid Theory (Bonus Edition),In the End,Linkin Park,1,8,88,False,0.556,0.8640000000000001,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.14299999999999,216880,4
1zB4vmk8tFRmM9UULNzbLB,Evolve,Thunder,Imagine Dragons,1,10,88,False,0.605,0.8220000000000001,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.28800000000000003,167.997,187147,4
4xqrdfXkTW4T0RauPLv3WA,Kid Krow,Heather,Conan Gray,1,10,87,False,0.35700000000000004,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.07799999999999,198040,3
09mEdoA6zrmBPgTEN5qXmN,"My Dear Melancholy,",Call Out My Name,The Weeknd,1,1,88,False,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,228373,3
7JJmb5XwzOO8jgpou264Ml,Illuminate (Deluxe),There's Nothing Holdin' Me Back,Shawn Mendes,1,1,87,False,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.9690000000000001,121.99799999999999,199440,4
5wANPM4fQCJwkGd4rN57mH,SOUR,drivers license,Olivia Rodrigo,1,3,88,True,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.13699999999999998,143.875,242013,4
1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,Gangsta's Paradise,Coolio; L.V.,1,2,87,False,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.39799999999999996,0.386,79.975,240693,4
003vvx7Niy0yvhvHt4a68B,Hot Fuss,Mr. Brightside,The Killers,1,2,87,False,0.35200000000000004,0.9109999999999999,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.23600000000000002,148.033,222973,4
0ct6r3EGTcMLPtrXHDvVjc,The Days / Nights,The Nights,Avicii,1,2,87,False,0.527,0.835,6,-5.297999999999999,1,0.0433,0.0166,0.0,0.249,0.654,125.98299999999999,176658,4
5Eax0qFko2dh7Rl2lYs3bx,Un Verano Sin Ti,Efecto,Bad Bunny,1,10,87,True,0.8009999999999999,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.23399999999999999,98.04700000000001,213061,4
3CRDbSIZ4r5MsZ0YwxuEkn,Blurryface,Stressed Out,Twenty One Pilots,1,2,87,False,0.7340000000000001,0.637,4,-5.6770000000000005,0,0.141,0.0462,2.2899999999999998e-05,0.0602,0.648,169.977,202333,4
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,Young And Beautiful,Lana Del Rey,1,1,87,False,0.324,0.41600000000000004,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,236053,4
6RUKPb4LETWmmr3iAEQktW,Memories...Do Not Open,Something Just Like This,The Chainsmokers; Coldplay,1,5,87,False,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.4400000000000001e-05,0.16399999999999998,0.446,103.01899999999999,247160,4
37ZJ0p5Jm13JPevGcx4SkF,Slippery When Wet,Livin' On A Prayer,Bon Jovi,1,3,87,False,0.532,0.887,0,-3.7569999999999997,1,0.0335,0.0778,0.00021400000000000002,0.294,0.795,122.51100000000001,249293,4
3QGsuHI8jO1Rx4JWLUh9jd,Illuminate,Treat You Better,Shawn Mendes,1,4,87,False,0.444,0.8190000000000001,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,187973,4
0FDzzruyVECATHXKHFs9eJ,Ghost Stories,A Sky Full of Stars,Coldplay,1,8,87,False,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867,4
1IHWl5LamUGEuP4ozKQSXZ,Un Verano Sin Ti,Tití Me Preguntó,Bad Bunny,1,4,87,True,0.65,0.715,5,-5.1979999999999995,0,0.253,0.0993,0.000291,0.126,0.187,106.67200000000001,243717,4
2nLtzopw4rPReszdYBJU6h,Meteora,Numb,Linkin Park,1,13,87,False,0.496,0.863,9,-4.1530000000000005,1,0.0381,0.0046,0.0,0.639,0.243,110.01799999999999,185587,4
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Happier Than Ever,Billie Eilish,1,15,87,True,0.332,0.225,0,-8.697000000000001,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3
5TXDeTFVRVY7Cvt0Dw4vWW,17,Revenge,XXXTENTACION,1,5,87,True,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,4
4ZtFanR9U6ndgddUvNcjcG,SOUR,good 4 u,Olivia Rodrigo,1,6,87,True,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4
5mCPDVBb16L4XQwDdbRUpz,More Life,Passionfruit,Drake,1,3,87,True,0.809,0.46299999999999997,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
5E30LdtzQTGqRvNd7l6kG5,Wiped Out!,Daddy Issues,The Neighbourhood,1,6,87,False,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.12300000000000001,0.337,85.012,260173,4
2qxmye6gAegTMjLKEBoR3d,Narrated For You,Let Me Down Slowly,Alec Benjamin,1,4,87,False,0.652,0.557,1,-5.7139999999999995,0,0.0318,0.74,0.0,0.124,0.483,150.07299999999998,169354,4
50nfwKoDiSYg8zOCREWAm5,=,Shivers,Ed Sheeran,1,2,87,False,0.7879999999999999,0.8590000000000001,2,-2.7239999999999998,1,0.0856,0.281,0.0,0.0424,0.8220000000000001,141.02,207853,4
1mXVgsBdtIVeCLJnSnmtdV,The Thrill Of It All (Special Edition),Too Good At Goodbyes,Sam Smith,1,1,87,False,0.6809999999999999,0.37200000000000005,5,-8.237,1,0.0432,0.64,0.0,0.16899999999999998,0.47600000000000003,91.87299999999999,201000,4
6K4t31amVTZDgR3sKmwUJJ,Currents,The Less I Know The Better,Tame Impala,1,7,87,True,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.16699999999999998,0.785,116.87899999999999,216320,4
7tqhbajSfrz2F7E1Z75ASX,United,Ain't No Mountain High Enough,Marvin Gaye; Tammi Terrell,1,1,87,False,0.6629999999999999,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,151667,4
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,1,1,87,False,0.7909999999999999,0.862,9,-3.24,0,0.11,0.037000000000000005,2.1899999999999997e-05,0.0814,0.5920000000000001,123.994,214847,4
3ZFTkvIE7kyPt6Nu3PEa7V,"Oral Fixation, Vol. 2 (Expanded Edition)",Hips Don't Lie (feat. Wyclef Jean),Shakira; Wyclef Jean,1,3,87,False,0.778,0.8240000000000001,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,218093,4
3OHfY25tqY28d16oZczHc8,SOS,Kill Bill,SZA,1,2,87,False,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.16899999999999998,0.161,0.43,88.993,153947,4
6DCZcSspjsKoFjzjrWoCdn,Scorpion,God's Plan,Drake,1,5,87,True,0.754,0.449,7,-9.211,1,0.109,0.0332,8.290000000000001e-05,0.552,0.35700000000000004,77.169,198973,4
3KkXRkHbMCARz0aVfEt68P,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee,1,2,87,False,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.9129999999999999,89.911,158040,4
6Uj1ctrBOjOas8xZXGqKk4,Planet Her,Woman,Doja Cat,1,1,87,True,0.8240000000000001,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.11699999999999999,0.8809999999999999,107.99799999999999,172627,4
3U4isOIWM3VvDubwSI3y7a,Love In The Future (Expanded Edition),All of Me,John Legend,1,6,86,False,0.42200000000000004,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560,4
5ww2BF9slyYgNOk37BlC4u,La Bachata,La Bachata,Manuel Turizo,1,1,86,False,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638,4
1HNkqx9Ahdgi1Ixy2xkKkL,x (Deluxe Edition),Photograph,Ed Sheeran,1,6,86,False,0.614,0.379,4,-10.48,1,0.0476,0.607,0.00046399999999999995,0.0986,0.201,107.98899999999999,258987,4
3dPQuX8Gs42Y7b454ybpMR,Elephant,Seven Nation Army,The White Stripes,1,1,86,False,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.11800000000000001,0.337,0.278,123.596,232107,4
7795WJLVKJoAyVoOtCWqXN,In The Lonely Hour,I'm Not The Only One,Sam Smith,1,5,86,False,0.677,0.485,5,-5.795,1,0.0361,0.529,2.0399999999999998e-05,0.0766,0.493,82.001,239317,4
31AOj9sFz2gM0O3hMARRBx,Out Of Time (25th Anniversary Edition),Losing My Religion,R.E.M.,1,2,86,False,0.6659999999999999,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.8029999999999999,125.639,268427,4
75JFxkI2RXiU7L9VXzMkle,A Rush of Blood to the Head,The Scientist,Coldplay,1,4,86,False,0.557,0.442,5,-7.224,1,0.0243,0.731,1.4599999999999999e-05,0.11,0.213,146.27700000000002,309600,4
6gBFPUFcJLzWGx4lenP6h2,Birds In The Trap Sing McKnight,goosebumps,Travis Scott,1,9,86,True,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,4
4BP3uh0hFLFRb5cjsgLqDh,Willy And The Poor Boys (Expanded Edition),Fortunate Son,Creedence Clearwater Revival,1,6,86,False,0.64,0.6629999999999999,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.6629999999999999,132.77,140773,4
3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Where Are You Now,Lost Frequencies; Calum Scott,1,1,86,False,0.6709999999999999,0.636,6,-8.117,0,0.10300000000000001,0.515,0.000411,0.172,0.262,120.96600000000001,148197,4
2374M0fQpWi3dLnB54qaLX,Toto IV,Africa,TOTO,1,10,86,False,0.6709999999999999,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.71799999999999,295893,4
6Qyc6fS4DsZjB2mRW9DsQs,Dizzy up the Girl,Iris,The Goo Goo Dolls,1,11,86,False,0.315,0.715,11,-8.072000000000001,0,0.0362,0.00125,7.97e-06,0.0942,0.49700000000000005,155.925,289533,3
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,Highway to Hell,AC/DC,1,1,86,False,0.574,0.9129999999999999,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4
7BqBn9nzAq8spo5e7cZ0dJ,Doo-Wops & Hooligans,Just the Way You Are,Bruno Mars,1,2,86,False,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734,4
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,everything i wanted,Billie Eilish,1,1,86,False,0.7040000000000001,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
4xkOaSrkexMciUUogZKVTS,The Eminem Show,Till I Collapse,Eminem; Nate Dogg,1,18,86,True,0.5479999999999999,0.847,1,-3.237,1,0.18600000000000003,0.0622,0.0,0.0816,0.1,171.447,297787,4
7KXjTSCq5nL1LoYtL7XAwS,DAMN.,HUMBLE.,Kendrick Lamar,1,8,86,True,0.9079999999999999,0.621,1,-6.638,0,0.102,0.00028199999999999997,5.39e-05,0.0958,0.42100000000000004,150.011,177000,4
4gbVRS8gloEluzf0GzDOFc,V,Maps,Maroon 5,1,1,86,False,0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059000000000000004,0.879,120.03200000000001,189960,4
