ID,Name,City,Region,Applied,Admitted,Enrolled
BEIJING NATIONAL DAY SCHOOL694342,,,,208,6,5
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,67,23,6
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,149,10,3
BELLEVUE SENIOR HIGH SCHOOL480070,BELLEVUE SENIOR HIGH SCHOOL,Bellevue,WA,130,9,5
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,18,6,5
BELMONT HIGH SCHOOL51540,BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,9,4,3
BENICIA HIGH SCHOOL50280,BENICIA HIGH SCHOOL,Benicia,Solano,60,4,4
BENJAMIN FRANKLIN HIGH SCHOOL51550,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,40,10,3
BENTLEY SCHOOL51300,BENTLEY SCHOOL,Lafayette,Contra Costa,44,8,4
BERKELEY HIGH SCHOOL50290,BERKELEY HIGH SCHOOL,Berkeley,Alameda,296,44,22
BEVERLY HILLS HIGH SCHOOL50320,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,84,14,5
BIRMINGHAM COMMUNITY HS53615,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,102,12,6
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,50,6,3
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,36,7,3
BISHOP MANOGUE CATHOLIC HS290140,BISHOP MANOGUE CATHOLIC HS,Reno,NV,12,4,3
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,65,11,3
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,155,29,14
BISHOPS SCHOOL51330,BISHOPS SCHOOL,La Jolla,San Diego,75,7,4
BOLSA GRANDE HIGH SCHOOL51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,63,8,3
BONITA VISTA HIGH SCHOOL50572,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,94,17,7
BRANHAM HIGH SCHOOL53082,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,109,9,7
BRANSON SCHOOL52695,BRANSON SCHOOL,Ross,Marin,31,10,5
BREA OLINDA HIGH SCHOOL50370,BREA OLINDA HIGH SCHOOL,Brea,Orange,83,6,3
BRENTWOOD SCHOOL51555,BRENTWOOD SCHOOL,Los Angeles,Los Angeles,55,6,3
BRONX HIGH SCHOOL OF SCIENCE333480,BRONX HIGH SCHOOL OF SCIENCE,Bronx,NY,68,9,3
BUHACH COLONY HIGH SCHOOL50181,BUHACH COLONY HIGH SCHOOL,Atwater,Merced,31,8,3
BULLARD HIGH SCHOOL50973,BULLARD HIGH SCHOOL,Fresno,Fresno,42,9,4
BURLINGAME HIGH SCHOOL50410,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,150,22,14
C K MCCLATCHY HIGH SCHOOL52705,C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,75,20,9
