"year","fips","pop2010","pop2023","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2023,6031,152982,152336,"California","CA",-0.0042227190126943315,"Kings County","Kings County","kings-county-ca",1389,109.67314614830813,0.0037872387090323143,33,109.67314614830813,1389
2023,6055,136484,138481,"California","CA",0.014631751707159912,"Napa County","Napa County","napa-county-ca",748,185.1350267379679,0.0034427883341134327,34,185.1350267379679,748
2023,6023,134623,137015,"California","CA",0.01776813768821084,"Humboldt County","Humboldt County","humboldt-county-ca",3568,38.40106502242153,0.0034063419790336,35,38.40106502242153,3568
2023,6057,98764,103285,"California","CA",0.04577578874893695,"Nevada County","Nevada County","nevada-county-ca",958,107.81315240083508,0.0025677774791408635,36,107.81315240083508,958
2023,6101,94737,101103,"California","CA",0.06719655467240893,"Sutter County","Sutter County","sutter-county-ca",602,167.9451827242525,0.0025135305850179476,37,167.9451827242525,602
2023,6045,87841,92729,"California","CA",0.05564599674411719,"Mendocino County","Mendocino County","mendocino-county-ca",3506,26.44865944095836,0.00230534383369563,38,26.44865944095836,3506
2023,6115,72155,84401,"California","CA",0.16971796826276764,"Yuba County","Yuba County","yuba-county-ca",632,133.54588607594937,0.002098300692423566,39,133.54588607594937,632
2023,6033,64665,69213,"California","CA",0.0703317095801439,"Lake County","Lake County","lake-county-ca",1256,55.10589171974522,0.001720710487135369,40,55.10589171974522,1256
2023,6069,55269,66891,"California","CA",0.21028062747652387,"San Benito County","San Benito County","san-benito-county-ca",1389,48.15766738660907,0.0016629830406855932,41,48.15766738660907,1389
2023,6103,63463,66540,"California","CA",0.04848494398310832,"Tehama County","Tehama County","tehama-county-ca",2950,22.55593220338983,0.0016542567987803945,42,22.55593220338983,2950
2023,6109,55365,55698,"California","CA",0.0060146301815227066,"Tuolumne County","Tuolumne County","tuolumne-county-ca",2221,25.077892841062585,0.0013847128821531472,43,25.077892841062585,2221
2023,6009,45578,45205,"California","CA",-0.008183772872877304,"Calaveras County","Calaveras County","calaveras-county-ca",1020,44.318627450980394,0.0011238454852550005,44,44.318627450980394,1020
2023,6093,44900,43830,"California","CA",-0.023830734966592382,"Siskiyou County","Siskiyou County","siskiyou-county-ca",6278,6.981522777954763,0.0010896614891876268,45,6.981522777954763,6278
2023,6005,38091,41188,"California","CA",0.08130529521409247,"Amador County","Amador County","amador-county-ca",595,69.2235294117647,0.0010239784945621714,46,69.2235294117647,595
2023,6035,34895,32082,"California","CA",-0.08061326837655824,"Lassen County","Lassen County","lassen-county-ca",4541,7.064963664391104,0.0007975934267879864,47,7.064963664391104,4541
2023,6021,28122,29157,"California","CA",0.036803925752080247,"Glenn County","Glenn County","glenn-county-ca",1314,22.189497716894977,0.0007248747442446643,48,22.189497716894977,1314
2023,6015,28610,27482,"California","CA",-0.03942677385529536,"Del Norte County","Del Norte County","del-norte-county-ca",1006,27.318091451292247,0.000683232421762591,49,27.318091451292247,1006
2023,6011,21419,21965,"California","CA",0.025491386152481477,"Colusa County","Colusa County","colusa-county-ca",1151,19.083405734144222,0.0005460737989962634,50,19.083405734144222,1151
2023,6063,20007,19724,"California","CA",-0.014145049232768492,"Plumas County","Plumas County","plumas-county-ca",2553,7.72581276929103,0.0004903601006784566,51,7.72581276929103,2553
2023,6027,18546,19157,"California","CA",0.032945109457565014,"Inyo County","Inyo County","inyo-county-ca",10181,1.8816422748256556,0.00047626386375467417,52,1.8816422748256556,10181
2023,6105,13786,16811,"California","CA",0.21942550413462936,"Trinity County","Trinity County","trinity-county-ca",3179,5.288140924819126,0.00041793975119172247,53,5.288140924819126,3179
2023,6043,18251,16795,"California","CA",-0.07977645060544625,"Mariposa County","Mariposa County","mariposa-county-ca",1449,11.590752242926156,0.00041754197378293846,54,11.590752242926156,1449
2023,6051,14202,12892,"California","CA",-0.09224052950288697,"Mono County","Mono County","mono-county-ca",3049,4.228271564447359,0.0003205091471276953,55,4.228271564447359,3049
2023,6049,9686,8403,"California","CA",-0.13245921949205042,"Modoc County","Modoc County","modoc-county-ca",3915,2.146360153256705,0.00020890772287573874,56,2.146360153256705,3915
2023,6091,3240,3236,"California","CA",-0.0012345679012345512,"Sierra County","Sierra County","sierra-county-ca",953,3.3955928646379854,0.00008045048092656081,57,3.3955928646379854,953
2023,6003,1175,1213,"California","CA",0.03234042553191485,"Alpine County","Alpine County","alpine-county-ca",738,1.6436314363143631,0.000030156499803435808,58,1.6436314363143631,738
