ID,Name,City,Region,Applied,Admitted,Enrolled
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,233,40,16
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,63,27,6
ARMIJO HIGH SCHOOL50910,ARMIJO HIGH SCHOOL,Fairfield,Solano,28,17,5
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,358,52,10
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,62,30,6
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,68,16,6
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,55,26,5
ARTESIA HIGH SCHOOL50155,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,18,13,3
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,34,20,4
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,43,12,3
BALBOA HIGH SCHOOL52916,BALBOA HIGH SCHOOL,San Francisco,San Francisco,80,14,6
BALDWIN PARK HIGH SCHOOL50225,BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,46,25,9
BASIS SCOTTSDALE CHARTER SCH30660,BASIS SCOTTSDALE CHARTER SCH,Scottsdale,AZ,31,12,3
BEIJING DULWICH INTRNTL SCHOOL694221,,,,37,13,3
BEIJING NATIONAL DAY SCHOOL694342,,,,231,4,3
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,54,24,3
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,65,32,3
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,21,10,3
BENJAMIN FRANKLIN HIGH SCHOOL51550,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,44,22,3
BERKELEY HIGH SCHOOL50290,BERKELEY HIGH SCHOOL,Berkeley,Alameda,317,67,13
BIRMINGHAM COMMUNITY HS53615,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,130,62,24
BISHOP GORMAN HIGH SCHOOL290095,BISHOP GORMAN HIGH SCHOOL,Las Vegas,NV,56,12,4
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,84,15,5
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,179,36,4
BISHOPS SCHOOL51330,BISHOPS SCHOOL,La Jolla,San Diego,65,11,3
BLOOMINGTON HIGH SCHOOL50348,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,47,22,4
BOLSA GRANDE HIGH SCHOOL51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,119,82,26
BONITA VISTA HIGH SCHOOL50572,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,148,91,47
BRANHAM HIGH SCHOOL53082,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,129,11,3
BRAWLEY UNION HIGH SCHOOL50365,BRAWLEY UNION HIGH SCHOOL,Brawley,Imperial,32,19,5
BREA OLINDA HIGH SCHOOL50370,BREA OLINDA HIGH SCHOOL,Brea,Orange,123,19,7
BROOKLYN TECHNICAL HIGH SCHOOL330630,BROOKLYN TECHNICAL HIGH SCHOOL,Brooklyn,NY,55,15,3
BUHACH COLONY HIGH SCHOOL50181,BUHACH COLONY HIGH SCHOOL,Atwater,Merced,30,7,4
BURBANK SENIOR HIGH SCHOOL50385,BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles,128,24,6
BURLINGAME HIGH SCHOOL50410,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,173,27,3
C K MCCLATCHY HIGH SCHOOL52705,C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,75,20,4
CA SCH ARTS SAN GABRIEL VALLEY52210,CA SCH ARTS SAN GABRIEL VALLEY,Duarte,Los Angeles,69,25,8
