Album,Song,Lyrics
Midnights,Maroon,"When the morning came
We were cleaning incense off your vinyl shelf
'Cause we lost track of time again
Laughing with my feet in your lap
Like you were my closest friend
""How'd we end up on the floor, anyway?"" you say
""Your roommate's cheap-ass screw-top rosé, that's how""
I see you every day now

And I chose you
The one I was dancing with
In New York, no shoes
Looked up at the sky and it was
The burgundy on my t-shirt
When you splashed your wine into me
And how the blood rushed into my cheeks
So scarlet, it was
The mark thеy saw on my collarbone
The rust that grew bеtween telephones
The lips I used to call home
So scarlet, it was maroon

When the silence came
We were shaking, blind and hazy
How the hell did we lose sight of us again?
Sobbing with your head in your hands
Ain't that the way shit always ends?
You were standing hollow-eyed in the hallway
Carnations you had thought were roses, that's us
I feel you, no matter what
The rubies that I gave up

And I lost you
The one I was dancing with
In New York, no shoes
Looked up at the sky and it was (Maroon)
The burgundy on my t-shirt
When you splashed your wine into me
And how the blood rushed into my cheeks
So scarlet, it was (Maroon)
The mark they saw on my collarbone
The rust that grew between telephones
The lips I used to call home
So scarlet, it was maroon

And I wake with your memory over me
That's a real fucking legacy, legacy (It was maroon)
And I wake with your memory over me
That's a real fucking legacy to leave

The burgundy on my t-shirt
When you splashed your wine into me
And how the blood rushed into my cheeks
So scarlet, it was maroon
The mark they saw on my collarbone
The rust that grew between telephones
The lips I used to call home
So scarlet, it was maroon

It was maroon
It was maroon"
Midnights,Mastermind,"Once upon a time, the planets and the fates
And all the stars aligned
You and I ended up in the same room
At the same time

And the touch of a hand lit the fuse
Of a chain reaction of countermoves
To assess the equation of you
Checkmate, I couldn't lose

What if I told you none of it was accidental?
And the first night that you saw me
Nothing was gonna stop me
I laid the groundwork, and then
Just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all by dеsign
'Cause I'm a mastermind

You see, all the wisеst women
Had to do it this way
'Cause we were born to be the pawn
In every lover's game

If you fail to plan, you plan to fail
Strategy sets the scene for the tale
I'm the wind in our free-flowing sails
And the liquor in our cocktails

What if I told you none of it was accidental?
And the first night that you saw me
I knew I wanted your body
I laid the groundwork, and then
Just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all my design
'Cause I'm a mastermind

No one wanted to play with me as a little kid
So I've been scheming like a criminal ever since
To make them love me and make it seem effortless
This is the first time I've felt the need to confess
And I swear
I'm only cryptic and Machiavellian
'Cause I care

So I told you none of it was accidental
And the first night that you saw me
Nothing was gonna stop me
I laid the groundwork, and then
Saw a wide smirk on your face
You knew the entire time
You knew that I'm a mastermind
And now you're mine
Yeah, all you did was smile
'Cause I'm a mastermind"
Midnights,Midnight Rain,"Rain
He wanted it comfortable, I wanted that pain
He wanted a bride, I was making my own name
Chasing that fame, he stayed the same
All of me changed like midnight

My town was a wasteland
Full of cages, full of fences
Pageant queens and big pretenders
But for some, it was paradise
My boy was a montage
A slow-motion, love potion
Jumping off things in the ocean
I broke his heart 'cause he was nice
He was sunshine, I was midnight rain

He wanted it comfortable, I wanted that pain
He wanted a bride, I was making my own name
Chasing that fame, he stayed the same
All of me changed like midnight

It came like a postcard
Picture perfect shiny family
Holiday peppermint candy
But for him, it's every day
So I peered through a window
A deep portal, time travel
All the love we unravel
And the life I gave away
'Cause he was sunshine, I was midnight rain

He wanted it comfortable, I wanted that pain
He wanted a bride, I was making my own name
Chasing that fame, he stayed the same
All of me changed like midnight rain
He wanted it comfortable, I wanted that pain
He wanted a bride, I was making my own name
Chasing that fame, he stayed the same
All of me changed like midnight

I guess sometimes we all get
Just what we wanted, just what we wanted
And he never thinks of me
Except for when I'm on TV
I guess sometimes we all get
Some kind of haunted, some kind of haunted
And I never think of him
Except on midnights like this
(Midnights like this, midnights like this)"
Midnights,Paris,"""Your ex-friend's sister
Met someone at a club and he kissed her
Turns out, it was that guy you hooked up with ages ago
Some wannabe Z-lister
And all the outfits were terrible
2003 unbearable
Did you see the photos?""
No, I didn't, but thanks, though

I'm so in love that I might stop breathing
Drew a map on your bedroom ceiling
No, I didn't see the news
'Cause we were somewhere else
Stumbled down pretend alleyways
Cheap wine, make believe it's champagne
I was taken by the view

Like we were in Paris
Like we were somewhere else
Like we were in Paris, oh
We were somewhere else

Privacy sign on the door
And on my page and on the whole world
Romance is not dead if you keep it just yours
Levitate above all the messes made
Sit quiet by my side in the shade
And not the kind that's thrown
I mean, the kind under where a tree has grown

I'm so in love that I might stop breathing
Drew a map on your bedroom ceiling
No, I didn't see the news
'Cause we were somewhere else
Stumbled down pretend alleyways
Cheap wine, make believe it's champagne
I was taken by the view

Like we were in Paris, oh
Like we were somewhere else
Like we were in Paris, oh
We were somewhere else

I wanna brainwash you
Into loving me forever
I wanna transport you
To somewhere the culture's clever
Confess my truth
In swooping, sloping, cursive letters
Let the only flashing lights be the tower at midnight
In my mind

We drew a map on your bedroom ceiling
No, I didn't see the news
'Cause we were somewhere else
In an alleyway, drinking champagne

'Cause we were in Paris
Yes, we were somewhere else
My love, we were in Paris
Yes, we were somewhere else"
Midnights,Question...?,"I remember

Good girl, sad boy
Big city, wrong choices
We had one thing goin' on
I swear that it was somethin'
'Cause I don't remember who I was
Before you painted all my nights
A color I've searched for since
But one thing after another
Fuckin' situations, circumstances
Miscommunications, and I
Have to say, by the way
I just may like some explanations

Can I ask you a question?
Did you ever have someone kiss you in a crowded room
And every single one of your friends was makin' fun of you
But fifteen seconds later, thеy were clappin' too?
Then what did you do?
Did you lеave her house in the middle of the night? Oh
Did you wish you'd put up more of a fight, oh
When she said it was too much?
Do you wish you could still touch her?
It's just a question

Half-moon eyes, bad surprise
Did you realize out of time?
She was on your mind with some dickhead guy
That you saw that night
But you were on somethin'
It was one drink after another
Fuckin' politics and gender roles
And you're not sure and I don't know
Got swept away in the gray
I just may like to have a conversation

Can I ask you a question?
Did you ever have someone kiss you in a crowded room
And every single one of your friends was makin' fun of you
But fifteen seconds later, they were clappin' too?
Then what did you do?
Did you leave her house in the middle of the night? Oh
Did you wish you'd put up more of a fight, oh
When she said it was too much?
Do you wish you could still touch her?
It's just a question

Does it feel like everything's just like
Second best after that meteor strike?
And what's that that I heard? That you're still with her?
That's nice, I'm sure that's what's suitable
And right, but tonight

Can I ask you a question? (Can I ask you a question?)
Did you ever have someone kiss you in a crowded room (In a crowded room)
And every single one of your friends was makin' fun of you (Makin' fun of you)
But fifteen seconds later, they were clappin' too?
Then what did you do? (Do)
Did you leave her house in the middle of the night? Oh
Did you wish you'd put up more of a fight, oh (More of a fight)
When she said it was too much?
Do you wish you could still touch her?
It's just a question"
Midnights,Snow On The Beach (Ft. Lana Del Rey),"One night, a few moons ago
I saw flecks of what could've been lights
But it might just have been you
Passing by unbeknownst to me
Life is emotionally abusive
And time can't stop me quite like you did
And my flight was awful, thanks for asking
I'm unglued, thanks to you

And it's like snow at the beach
Weird, but fuckin' beautiful
Flying in a dream
Stars by the pocketful
You wanting me
Tonight feels impossible
But it's comin' down
No sound, it's all around

Like snow on the beach
Like snow on the beach
Like snow on the beach
Like snow, ah

This scene feels like what I once saw on a screen
I searched ""aurora borealis green""
I've never seen someone lit from within
Blurring out my periphery
My smile is like I won a contest
And to hide that would be so dishonest
And it's fine to fake it 'til you make it
'Til you do, 'til it's true

Now it's like snow at the beach
Weird, but fuckin' beautiful
Flying in a dream
Stars by the pocketful
You wanting me
Tonight feels impossible
But it's comin' down
No sound, it's all around

Like snow on the beach
Like snow on the beach
Like snow on the beach
Like snow, ah

I (I) can't (Can't) speak, afraid to jinx it
I (I) don't (Don't) even dare to wish it
But your eyes are flying saucers from another planet
Now I'm all for you like Janet
Can this be a real thing? Can it?

Are we falling like snow at the beach? (Snow at the beach)
Weird, but fuckin' beautiful
Flying in a dream (Flying in a dream)
Stars by the pocketful
You wanting me (You wanting me)
Tonight feels impossible
But it's comin' down
No sound, it's all around

Like snow on the beach (Snow on the beach)
Like snow on the beach (Flying in a dream)
Like snow on the beach (You wanting me)
Like snow, ah
But it's comin' down
No sound, it's all around

Like snow on the beach
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)
Like snow on the beach
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)
(It's comin' down, it's comin' down)"
Midnights,Sweet Nothing,"I spy with my little tired eye
Tiny as a firefly
A pebble that we picked up last July
Down deep inside your pocket
We almost forgot it
Does it ever miss Wicklow sometimes?
Ooh, ooh

They said the end is comin'
Everyone's up to somethin'
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin'
You're in the kitchen hummin'
All that you ever wanted from me was sweet nothin'

On the way home
I wrote a poem
You say, ""What a mind""
This happens all the time
Ooh, ooh

'Causе they said the end is comin'
Evеryone's up to somethin'
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin'
You're in the kitchen hummin'
All that you ever wanted from me was nothin'

Industry disruptors and soul deconstructors
And smooth-talking hucksters out glad-handing each other
And the voices that implore, ""You should be doing more""
To you, I can admit that I'm just too soft for all of it
Ooh

They said the end is comin'
Everyone's up to somethin'
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin'
You're in the kitchen hummin'
All that you ever wanted from me was sweet nothin'
They said the end is comin' (They said the end is comin')
Everyone's up to somethin' (Everyone's up to somethin')
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin' (Outside, they're push and shovin')
You're in the kitchen hummin' (You're in the kitchen hummin')
All that you ever wanted from me was sweet nothin'"
Midnights,The Great War,"My knuckles were bruised like violets
Sucker punching walls, cursed you as I sleep-talked
Spineless in my tomb of silence
Tore your banners down, took the battle underground
And maybe it was egos swinging
Maybe it was her
Flashes of the battle come back to me in a blur

All that bloodshed, crimson clover
Uh-huh, sweet dream was over
My hand was the one you reached for
All throughout the Great War
Always remember
Uh-huh, tears on the lеtter
I vowed not to cry anymore
If wе survived the Great War

You drew up some good faith treaties
I drew curtains closed, drank my poison all alone
You said I have to trust more freely
But diesel is desire, you were playing with fire
And maybe it's the past that's talking
Screaming from the crypt
Telling me to punish you for things you never did
So I justified it

All that bloodshed, crimson clover
Uh-huh, the bombs were closer
My hand was the one you reached for
All throughout the Great War
Always remember
Uh-huh, the burning embers
I vowed not to fight anymore
If we survived the Great War

Uh-huh, uh-huh

It turned into something bigger
Somewhere in the haze, got a sense I'd been betrayed
Your finger on my hairpin triggers
Soldier down on that icy ground
Looked up at me with honor and truth
Broken and blue, so I called off the troops
That was the night I nearly lost you
I really thought I'd lost you

We can plant a memory garden
Say a solemn prayer, place a poppy in my hair
There's no morning glory, it was war, it wasn't fair
And we will never go back

To that bloodshed, crimson clover
Uh-huh, the worst was over
My hand was the one you reached for
All throughout the Great War
Always remember
Uh-huh, we're burned for better
I vowed I would always be yours
'Cause we survived the Great War

Uh-huh, uh-huh
I will always be yours
'Cause we survived the Great War
Uh-huh
I vow I will always be yours"
Midnights,Vigilante Shit,"Draw the cat eye sharp enough to kill a man
You did some bad things, but I'm the worst of them
Sometimes I wonder which one'll be your last lie
They say looks can kill and I might try
I don't dress for women
I don't dress for men
Lately, I've been dressin' for revenge

I don't start shit, but I can tell you how it ends
Don't get sad, get even
So on the weekends
I don't dress for friends
Lately, I've been dressin' for revenge

She needed cold, hard proof, so I gave her some
She had the envelope, where you think she got it from?
Now she gets the house, gets the kids, gets the pride
Picture me thick as thieves with your ex-wife
And she looks so pretty
Drivin' in your Benz
Lately, she's been dressin' for revenge

She don't start shit, but she can tell you how it ends
Don't get sad, get even
So on the weekends
She don't dress for friends
Lately, she's been dressing for revenge

Ladies always rise above
Ladies know what people want
Someone sweet and kind and fun
The lady simply had enough

While he was doin' lines and crossin' all of mine
Someone told his white-collar crimes to the FBI
And I don't dress for villains
Or for innocents
I'm on my vigilante shit again

I don't start shit, but I can tell you how it ends
Don't get sad, get even
So on the weekends
I don't dress for friends
Lately, I've been dressin' for revenge"
Midnights,"Would've, Could've, Should've","If you would've blinked, then I would've
Looked away at the first glance
If you tasted poison, you could've
Spit me out at the first chance
And if I was some paint, did it splatter
On a promising grown man?
And if I was a child, did it matter
If you got to wash your hands?

Ooh, all I used to do was pray
Would've, could've, should've
If you'd never looked my way

I would've stayed on my knees
And I damn sure never would've danced with the devil
At nineteen
And the God's honest truth is that the pain was heaven
And now that I'm grown, I'm scared of ghosts
Memories feel like weapons
And now that I know, I wish you'd left me wondering

If you never touched me, I would've
Gone along with the righteous
If I never blushed, then they could've
Never whispered about this
And if you never saved me from boredom
I could've gone on as I was
But, Lord, you made me feel important
And then you tried to erase us

Ooh, you're a crisis of my faith
Would've, could've, should've
If I'd only played it safe

I would've stayed on my knees
And I damn sure never would've danced with the devil
At nineteen
And the God's honest truth is that the pain was heaven
And now that I'm grown, I'm scared of ghosts
Memories feel like weapons
And now that I know, I wish you'd left me wondering

God rest my soul
I miss who I used to be
The tomb won't close
Stained glass windows in my mind
I regret you all the time
I can't let this go
I fight with you in my sleep
The wound won't close
I keep on waiting for a sign
I regret you all the time

If clarity's in death, then why won't this die?
Years of tearing down our banners, you and I
Living for the thrill of hitting you where it hurts
Give me back my girlhood, it was mine first

And I damn sure never would've danced with the devil
At nineteen
And the God's honest truth is that the pain was heaven
And now that I'm grown, I'm scared of ghosts
Memories feel like weapons
And now that I know, I wish you'd left me wondering

God rest my soul
I miss who I used to be
The tomb won't close
Stained glass windows in my mind
I regret you all the time
I can't let this go
I fight with you in my sleep
The wound won't close
I keep on waiting for a sign
I regret you all the time
Oh, God rest my soul
I miss who I used to be
The tomb won't close
Stained glass windows in my mind
I regret you all the time
I can't let this go
I fight with you in my sleep
The wound won't close
I keep on waiting for a sign
I regret you all the time"
Midnights,"You're On Your Own, Kid","Summer went away, still, the yearning stays
I play it cool with the best of them
I wait patiently, he's gonna notice me
It's okay, we're the best of friends
Anyway
I hear it in your voice, you're smoking with your boys
I touch my phone as if it's your face
I didn't choose this town, I dream of getting out
There's just one who could make me stay
All my days

From sprinkler splashes to fireplace ashes
I waited ages to see you there
I search the party of better bodies
Just to learn that you never cared

You're on your own, kid
You always have been

I see the great escape, so long, Daisy May
I picked the petals, he loves me not
Something different bloomed, writing in my room
I play my songs in the parking lot
I'll run away

From sprinkler splashes to fireplace ashes
I called a taxi to take me there
I search the party of better bodies
Just to learn that my dreams aren't rare

You're on your own, kid
You always have been


From sprinkler splashes to fireplace ashes
I gave my blood, sweat, and tears for this
I hosted parties and starved my body
Like I'd be saved by a perfect kiss
The jokes weren't funny, I took the money
My friends from home don't know what to say
I looked around in a blood-soaked gown
And I saw something they can't take away
'Cause there were pages turned with the bridges burned
Everything you lose is a step you take
So, make the friendship bracelets, take the moment and taste it
You've got no reason to be afraid

You're on your own, kid
Yeah, you can face this
You're on your own, kid
You always have been"
