Name,Distance,Magnitude,Type,Year,Detection,Mass,Radius
11 Comae Berenices b,304.0,4.72307,Gas Giant,2007,Radial Velocity,6165.901999999999,11.88
11 Ursae Minoris b,409.0,5.013,Gas Giant,2009,Radial Velocity,4684.8142,11.99
14 Andromedae b,246.0,5.231330000000001,Gas Giant,2008,Radial Velocity,1525.5839999999998,12.649999999999999
14 Herculis b,58.0,6.61935,Gas Giant,2002,Radial Velocity,2586.7579823,12.32
16 Cygni B b,69.0,6.215,Gas Giant,1996,Radial Velocity,565.7374,13.2
17 Scorpii b,408.0,5.2260599999999995,Gas Giant,2020,Radial Velocity,1373.0256,12.649999999999999
18 Delphini b,249.0,5.51048,Gas Giant,2008,Radial Velocity,3273.649,12.21
1RXS J160929.1-210524 b,454.0,12.618,Gas Giant,2008,Direct Imaging,2542.64,18.304000000000002
24 Bootis b,313.0,5.59,Gas Giant,2018,Radial Velocity,289.2253,13.64
24 Sextantis b,235.0,6.4535,Gas Giant,2010,Radial Velocity,632.4816999999999,13.09
24 Sextantis c,235.0,6.4535,Gas Giant,2010,Radial Velocity,273.3338,13.64
2M0437 b,419.0,16.186,Gas Giant,2021,Direct Imaging,1271.32,12.76
2MASS J01033563-5515561 AB b,154.0,15.788,Gas Giant,2013,Direct Imaging,4131.79,12.100000000000001
2MASS J01225093-2439505 b,110.0,14.244000000000002,Gas Giant,2013,Direct Imaging,7786.835,11.0
2MASS J12073346-3932539 b,210.0,20.15,Gas Giant,2004,Direct Imaging,1589.1499999999999,12.649999999999999
2MASS J19383260+4603591 b,1293.0,12.651,Gas Giant,2015,Eclipse Timing Variations,603.877,13.2
2MASS J22362452+4751425 b,227.0,12.368,Gas Giant,2016,Direct Imaging,3972.875,12.100000000000001
30 Arietis B b,146.0,7.09209,Gas Giant,2009,Radial Velocity,4392.4106,12.100000000000001
42 Draconis b,296.0,4.8262,Gas Giant,2008,Radial Velocity,1233.1804,12.76
47 Ursae Majoris b,45.0,5.033519999999999,Gas Giant,1996,Radial Velocity,804.1098999999999,12.979999999999999
47 Ursae Majoris c,45.0,5.033519999999999,Gas Giant,2001,Radial Velocity,171.6282,13.97
47 Ursae Majoris d,45.0,5.033519999999999,Gas Giant,2009,Radial Velocity,521.2411999999999,13.2
4 Ursae Majoris b,240.0,4.5801,Gas Giant,2006,Radial Velocity,2256.593,12.43
51 Eridani b,97.0,5.21149,Gas Giant,2015,Direct Imaging,635.66,13.09
51 Pegasi b,50.0,5.45309,Gas Giant,1995,Radial Velocity,146.2018,13.97
55 Cancri b,41.0,5.95084,Gas Giant,1996,Radial Velocity,263.989598,13.64
55 Cancri c,41.0,5.95084,Gas Giant,2004,Radial Velocity,54.476062,8.36
55 Cancri d,41.0,5.95084,Gas Giant,2002,Radial Velocity,1232.54474,12.76
55 Cancri e,41.0,5.95084,Super Earth,2004,Radial Velocity,7.99,1.875
55 Cancri f,41.0,5.95084,Gas Giant,2007,Radial Velocity,44.814029999999995,7.447000000000001
61 Virginis b,28.0,4.6955,Neptune-like,2009,Radial Velocity,5.1,2.11
61 Virginis c,28.0,4.6955,Neptune-like,2009,Radial Velocity,18.2,4.377999999999999
61 Virginis d,28.0,4.6955,Neptune-like,2009,Radial Velocity,22.9,5.016
6 Lyncis b,178.0,5.873069999999999,Gas Giant,2008,Radial Velocity,638.8382999999999,13.09
70 Virginis b,58.0,4.9680800000000005,Gas Giant,1996,Radial Velocity,2380.5467,12.43
75 Ceti b,271.0,5.3532,Gas Giant,2012,Radial Velocity,953.49,12.87
7 Canis Majoris b,65.0,3.95,Gas Giant,2011,Radial Velocity,587.9855,13.2
7 Canis Majoris c,65.0,3.95,Gas Giant,2019,Radial Velocity,276.5121,13.64
81 Ceti b,330.0,5.64307,Gas Giant,2008,Radial Velocity,1684.4989999999998,12.54
8 Ursae Minoris b,530.0,6.83295,Gas Giant,2015,Radial Velocity,416.3573,13.42
91 Aquarii b,144.0,4.23946,Gas Giant,2013,Radial Velocity,1017.056,12.87
AB Aurigae b,529.0,7.0760000000000005,Gas Giant,2022,Direct Imaging,2860.47,12.32
AB Pictoris b,163.0,9.13,Gas Giant,2005,Direct Imaging,4290.705,12.100000000000001
Alpha Arietis b,66.0,2.0053799999999997,Gas Giant,2010,Radial Velocity,572.0939999999999,13.2
Alpha Tauri b,67.0,0.872,Gas Giant,2015,Radial Velocity,2056.3601,12.43
AU Microscopii b,32.0,8.81,Neptune-like,2020,Transit,20.12,3.993
AU Microscopii c,32.0,8.81,Neptune-like,2021,Transit,9.6,3.179
b Centauri AB b,320.0,4.01,Gas Giant,2021,Direct Imaging,3464.3469999999998,12.21
BD-00 4475 b,139.0,9.01,Gas Giant,2021,Radial Velocity,7961.6415,11.770000000000001
BD+03 2562 b,3492.0,9.577,Gas Giant,2017,Radial Velocity,2034.112,12.43
BD-06 1339 b,66.0,9.7,Neptune-like,2013,Radial Velocity,8.5,2.794
BD-06 1339 c,66.0,9.7,Gas Giant,2013,Radial Velocity,54.0311,8.217
BD-08 2823 b,135.0,9.86,Neptune-like,2009,Radial Velocity,12.7132,3.5420000000000003
BD-08 2823 c,135.0,9.86,Gas Giant,2009,Radial Velocity,104.8839,12.21
BD-10 3166 b,275.0,10.013,Gas Giant,2000,Radial Velocity,187.51969999999997,13.86
BD-11 4672 b,89.0,10.03,Gas Giant,2014,Radial Velocity,206.5895,13.75
BD-11 4672 c,89.0,10.03,Neptune-like,2020,Radial Velocity,15.37,3.96
BD-13 2130 b,3018.0,10.038,Gas Giant,2007,Radial Velocity,3108.3774,12.21
BD+14 4559 b,161.0,9.78,Gas Giant,2009,Radial Velocity,330.5432,13.53
BD+15 2375 b,2505.0,10.41,Gas Giant,2016,Radial Velocity,337.21763,13.53
BD+15 2940 b,1391.0,9.01,Gas Giant,2013,Radial Velocity,352.79130000000004,13.53
BD-17 63 b,112.0,9.62,Gas Giant,2008,Radial Velocity,1620.9329999999998,12.649999999999999
BD+20 2457 b,5023.0,9.743,Gas Giant,2009,Radial Velocity,17668.1697,11.33
BD+20 2457 c,5023.0,9.743,Gas Giant,2009,Radial Velocity,3963.3401,12.100000000000001
BD+20 274 b,4314.0,9.367,Gas Giant,2012,Radial Velocity,1334.886,12.76
BD+20 594 b,585.0,10.849,Neptune-like,2016,Transit,22.2481,2.5300000000000002
BD+45 564 b,175.0,9.67,Gas Giant,2021,Radial Velocity,432.2488,13.309999999999999
BD+48 738 b,2843.0,9.139,Gas Giant,2011,Radial Velocity,289.2253,13.64
BD+48 740 b,2174.0,8.69,Gas Giant,2018,Radial Velocity,540.3109999999999,13.2
BD+49 828 b,1442.0,9.381,Gas Giant,2015,Radial Velocity,508.528,13.309999999999999
BD+55 362 b,171.0,9.38,Gas Giant,2021,Radial Velocity,228.83759999999998,13.75
BD+60 1417 b,147.0,9.374,Gas Giant,2021,Direct Imaging,4767.45,14.41
BD+63 1405 b,124.0,8.96,Gas Giant,2021,Radial Velocity,1258.6068,12.76
Beta Cancri b,290.0,3.5101199999999997,Gas Giant,2014,Radial Velocity,2479.0739999999996,12.32
Beta Pictoris b,64.0,3.85,Gas Giant,2008,Direct Imaging,3729.1407079,18.15
Beta Pictoris c,64.0,3.85,Gas Giant,2019,Radial Velocity,3223.1521695999995,12.21
Beta Ursae Minoris b,126.0,2.0569,Gas Giant,2014,Radial Velocity,1938.7629999999997,12.54
CD Ceti b,28.0,13.95,Super Earth,2020,Radial Velocity,3.95,1.82
CI Tauri b,515.0,13.642000000000001,Gas Giant,2019,Radial Velocity,3686.8279999999995,12.21
COCONUTS-2 b,36.0,11.298,Gas Giant,2021,Direct Imaging,2002.329,12.21
CoRoT-10 b,1104.0,15.293,Gas Giant,2010,Transit,874.0324999999999,10.67
CoRoT-11 b,2137.0,12.897,Gas Giant,2010,Transit,740.5439,15.729999999999999
CoRoT-12 b,3674.0,15.588,Gas Giant,2010,Transit,291.45011,15.84
CoRoT-13 b,3748.0,15.005,Gas Giant,2010,Transit,415.72164,9.735
CoRoT-14 b,5691.0,15.932,Gas Giant,2010,Transit,2415.508,11.99
CoRoT-16 b,2389.0,16.052,Gas Giant,2011,Transit,170.03905,12.87
CoRoT-17 b,3837.0,16.29,Gas Giant,2011,Transit,772.3269,11.22
CoRoT-18 b,2495.0,14.868,Gas Giant,2011,Transit,1102.8701,14.41
CoRoT-19 b,2579.0,14.135,Gas Giant,2011,Transit,352.79130000000004,14.190000000000001
CoRoT-1 b,2570.0,13.623,Gas Giant,2008,Transit,327.3649,16.39
CoRoT-20 b,2753.0,14.63,Gas Giant,2011,Transit,1366.6689999999999,9.24
CoRoT-20 c,2753.0,14.63,Gas Giant,2018,Radial Velocity,5403.11,11.99
CoRoT-21 b,4563.0,16.058,Gas Giant,2012,Transit,718.2957999999999,14.3
CoRoT-22 b,2046.0,13.82,Neptune-like,2014,Transit,12.2,4.785
CoRoT-23 b,3461.0,15.675,Gas Giant,2011,Transit,889.9239999999999,11.55
CoRoT-24 b,1930.0,15.383,Neptune-like,2014,Transit,5.7,3.6300000000000003
CoRoT-24 c,1930.0,15.383,Neptune-like,2014,Transit,28.0,4.84
CoRoT-25 b,3600.0,14.79,Gas Giant,2013,Transit,85.8141,11.88
CoRoT-26 b,3409.0,15.860999999999999,Gas Giant,2013,Transit,165.2716,13.86
CoRoT-27 b,3296.0,15.774000000000001,Gas Giant,2014,Transit,3302.2537,11.077000000000002
CoRoT-28 b,2499.0,13.783,Gas Giant,2015,Transit,153.82971999999998,10.504999999999999
CoRoT-29 b,2631.0,15.408,Gas Giant,2015,Transit,270.15549999999996,9.9
CoRoT-2 b,696.0,12.515999999999998,Gas Giant,2008,Transit,1102.8701,16.126
CoRoT-30 b,3367.0,15.571,Gas Giant,2020,Transit,921.7069999999999,11.099000000000002
CoRoT-31 b,6543.0,15.479000000000001,Gas Giant,2020,Transit,266.9772,16.06
CoRoT-35 b,3664.0,15.635,Gas Giant,2022,Transit,349.613,18.48
CoRoT-36 b,3020.0,13.126,Gas Giant,2022,Transit,216.1244,15.51
CoRoT-3 b,2508.0,13.448,Gas Giant,2008,Transit,6884.1978,11.11
CoRoT-4 b,2370.0,13.652000000000001,Gas Giant,2008,Transit,228.83759999999998,13.09
CoRoT-5 b,2879.0,14.043,Gas Giant,2009,Transit,148.42661,15.268
CoRoT-6 b,2105.0,13.960999999999999,Gas Giant,2009,Transit,940.7768,12.825999999999999
CoRoT-7 b,522.0,11.728,Super Earth,2009,Transit,4.07661,1.681
CoRoT-7 c,522.0,11.728,Neptune-like,2009,Radial Velocity,8.4,2.783
CoRoT-7 d,522.0,11.728,Neptune-like,2022,Radial Velocity,17.142,4.224
CoRoT-8 b,1050.0,14.792,Gas Giant,2010,Transit,69.9226,6.27
CoRoT-9 b,1347.0,13.637,Gas Giant,2009,Transit,266.9772,11.725999999999999
CoRoTID 223977153 b,1881.0,13.626,Gas Giant,2017,Transit,47.674499999999995,6.27
CT Chamaleontis b,622.0,12.335,Gas Giant,2007,Direct Imaging,5403.11,24.200000000000003
DE Canum Venaticorum b,100.0,12.956,Gas Giant,2018,Eclipse Timing Variations,3823.2724189999994,12.100000000000001
DH Tauri b,440.0,13.98,Gas Giant,2004,Direct Imaging,3496.1299999999997,29.700000000000003
DMPP-1 b,204.0,7.98,Neptune-like,2019,Radial Velocity,24.27,5.192
DMPP-1 c,204.0,7.98,Neptune-like,2019,Radial Velocity,9.6,3.003
DMPP-1 d,204.0,7.98,Super Earth,2019,Radial Velocity,3.35,1.65
DMPP-1 e,204.0,7.98,Super Earth,2019,Radial Velocity,4.13,1.86
DMPP-2 b,450.0,8.57,Gas Giant,2019,Radial Velocity,138.89171000000002,14.08
DMPP-3 A b,148.0,9.066,Super Earth,2019,Radial Velocity,2.58,1.41
DP Leonis b,997.0,18.6837,Gas Giant,2009,Eclipse Timing Variations,1995.9723999999999,12.54
DS Tucanae A b,144.0,8.17,Neptune-like,2019,Transit,413.179,5.599
EPIC 201170410.02,437.0,17.6984,Super Earth,2020,Transit,1.15,1.047
EPIC 201238110 b,520.0,16.014,Super Earth,2019,Transit,4.16,1.87
EPIC 201427007 b,2304.0,14.321,Super Earth,2021,Transit,2.86,1.5
EPIC 201497682 b,825.0,13.948,Terrestrial,2019,Transit,0.26,0.6920000000000001
EPIC 201595106 b,757.0,11.745999999999999,Super Earth,2021,Transit,2.24,1.3
EPIC 201615463 c,1556.0,12.081,Super Earth,2019,Transit,1.98,1.22
EPIC 201754305 d,1093.0,14.668,Super Earth,2019,Transit,1.08,1.03
EPIC 201757695.02,1884.0,14.974,Terrestrial,2020,Transit,0.688,0.9079999999999999
EPIC 201833600 c,840.0,14.705,Terrestrial,2019,Transit,0.972,1.0
EPIC 201841433 b,1424.0,14.982999999999999,Super Earth,2019,Transit,1.12,1.04
EPIC 205950854 c,796.0,12.365,Super Earth,2019,Transit,2.27,1.31
EPIC 206024342 b,1207.0,13.095999999999998,Super Earth,2019,Transit,3.53,1.7
EPIC 206024342 c,1207.0,13.095999999999998,Super Earth,2021,Transit,2.54,1.4
EPIC 206024342 d,1207.0,13.095999999999998,Neptune-like,2021,Transit,7.27,2.5519999999999996
EPIC 206032309 b,526.0,17.89,Super Earth,2019,Transit,1.01,1.01
EPIC 206042996 b,1474.0,16.59,Super Earth,2019,Transit,3.53,1.7
EPIC 206042996 c,1474.0,16.59,Super Earth,2021,Transit,1.87,1.2
EPIC 206215704 b,358.0,17.83,Terrestrial,2019,Transit,0.972,1.0
EPIC 206317286 b,1025.0,14.005,Terrestrial,2019,Transit,0.84,0.96
EPIC 206317286 c,1025.0,14.005,Super Earth,2022,Transit,5.03,2.094
EPIC 211822797 b,607.0,15.133,Super Earth,2016,Transit,4.35,1.92
EPIC 211945201 b,593.0,10.154,Neptune-like,2018,Transit,27.0,5.654
EPIC 212297394 b,1365.0,14.610999999999999,Super Earth,2019,Transit,2.79,1.48
EPIC 212297394 c,1365.0,14.610999999999999,Neptune-like,2016,Transit,5.77,2.233
EPIC 212424622 b,1996.0,13.440999999999999,Neptune-like,2019,Transit,5.35,2.17
EPIC 212499991 b,924.0,13.672,Super Earth,2019,Transit,3.19,1.6
EPIC 212587672 b,1044.0,12.488,Super Earth,2019,Transit,2.13,1.26
EPIC 212587672 c,1044.0,12.488,Neptune-like,2016,Transit,5.99,2.2769999999999997
EPIC 212624936 b,1833.0,13.975999999999999,Super Earth,2021,Transit,1.87,1.2
EPIC 212624936 c,1833.0,13.975999999999999,Neptune-like,2021,Transit,5.9,2.255
EPIC 212737443 b,1097.0,14.81,Neptune-like,2019,Transit,7.2,2.541
EPIC 212737443 c,1097.0,14.81,Neptune-like,2019,Transit,7.7,2.6399999999999997
EPIC 220492298 b,2037.0,13.991,Terrestrial,2021,Transit,0.937,0.99
EPIC 220554210 c,1619.0,14.21,Super Earth,2019,Transit,3.19,1.6
EPIC 220674823 b,798.0,12.100999999999999,Super Earth,2016,Transit,7.72,1.6
EPIC 220674823 c,798.0,12.100999999999999,Neptune-like,2016,Transit,5.8,2.2
EPIC 228836835 b,490.0,16.77,Super Earth,2021,Transit,1.37,1.1
EPIC 246851721 b,1216.0,11.237,Gas Giant,2018,Transit,953.49,11.561
EPIC 248847494 b,1800.0,12.353,Gas Giant,2018,Transit,4131.79,12.21
EPIC 249893012 b,1048.0,11.429,Super Earth,2020,Transit,8.75,1.95
EPIC 249893012 c,1048.0,11.429,Neptune-like,2020,Transit,14.67,3.597
EPIC 249893012 d,1048.0,11.429,Neptune-like,2020,Transit,10.18,3.8720000000000003
Epsilon Coronae Borealis b,228.0,4.125769999999999,Gas Giant,2012,Radial Velocity,2129.461,12.43
Epsilon Eridani b,10.0,3.7154800000000003,Gas Giant,2000,Radial Velocity,209.7678,13.75
Epsilon Indi A b,12.0,4.69,Gas Giant,2019,Radial Velocity,1032.9475,12.87
Epsilon Tauri b,155.0,3.523,Gas Giant,2006,Radial Velocity,2415.508,12.43
G 264-012 b,52.0,13.078,Super Earth,2021,Radial Velocity,2.5,1.39
G 264-012 c,52.0,13.078,Super Earth,2021,Radial Velocity,3.75,1.76
G 9-40 b,91.0,13.821,Super Earth,2019,Transit,4.76,2.025
Gaia-1 b,1186.0,13.242,Gas Giant,2022,Transit,533.9544,13.519000000000002
Gaia-2 b,683.0,11.277000000000001,Gas Giant,2022,Transit,259.66711,14.541999999999998
gam1 Leonis b,130.0,1.9950900000000003,Gas Giant,2009,Radial Velocity,2790.5473999999995,12.32
Gamma Cephei b,46.0,3.23006,Gas Giant,2003,Radial Velocity,2987.602,12.32
Gamma Librae b,155.0,3.9067199999999995,Gas Giant,2018,Radial Velocity,324.1866,13.53
Gamma Librae c,155.0,3.9067199999999995,Gas Giant,2018,Radial Velocity,1455.6614,12.649999999999999
Gamma Piscium b,135.0,3.6925199999999996,Gas Giant,2021,Radial Velocity,425.8922,13.42
GJ 1002 b,16.0,13.76,Super Earth,2022,Radial Velocity,1.08,1.03
GJ 1002 c,16.0,13.76,Super Earth,2022,Radial Velocity,1.36,1.1
GJ 1061 b,12.0,12.7,Super Earth,2020,Radial Velocity,1.37,1.1
GJ 1061 c,12.0,12.7,Super Earth,2020,Radial Velocity,1.74,1.18
GJ 1061 d,12.0,12.7,Super Earth,2020,Radial Velocity,1.64,1.16
GJ 1132 b,41.0,13.68,Super Earth,2015,Transit,1.66,1.13
GJ 1132 c,41.0,13.68,Super Earth,2018,Radial Velocity,2.64,1.43
GJ 1148 b,36.0,11.939,Gas Giant,2010,Radial Velocity,96.6997775,11.770000000000001
GJ 1148 c,36.0,11.939,Gas Giant,2017,Radial Velocity,68.0601162,9.526
GJ 1151 c,26.0,13.76,Neptune-like,2023,Radial Velocity,10.62,3.19
GJ 1214 b,48.0,15.1,Neptune-like,2009,Transit,8.17,2.695
GJ 1252 b,66.0,12.68,Super Earth,2020,Transit,1.32,1.18
GJ 1265 b,33.0,14.01,Neptune-like,2018,Radial Velocity,7.4,2.574
GJ 143 b,53.0,8.08,Neptune-like,2019,Transit,22.7,2.563
GJ 15 A b,12.0,8.09,Super Earth,2014,Radial Velocity,3.03,1.55
GJ 15 A c,12.0,8.09,Neptune-like,2018,Radial Velocity,36.0,6.545
GJ 160.2 b,84.0,9.7,Neptune-like,2014,Radial Velocity,10.2,3.1130000000000004
GJ 163 b,49.0,11.79,Neptune-like,2013,Radial Velocity,10.6,3.19
GJ 163 c,49.0,11.79,Neptune-like,2013,Radial Velocity,6.8,2.453
GJ 163 d,49.0,11.79,Neptune-like,2013,Radial Velocity,29.4,5.808
GJ 179 b,40.0,11.963,Gas Giant,2009,Radial Velocity,260.62059999999997,13.64
GJ 180 b,39.0,10.914000000000001,Neptune-like,2014,Radial Velocity,6.49,2.387
GJ 180 c,39.0,10.914000000000001,Neptune-like,2014,Radial Velocity,6.4,2.3649999999999998
GJ 180 d,39.0,10.914000000000001,Neptune-like,2020,Radial Velocity,7.56,2.6069999999999998
GJ 2030 b,121.0,6.20902,Super Earth,2022,Radial Velocity,4.59248,1.98
GJ 2030 c,121.0,6.20902,Gas Giant,2022,Radial Velocity,4067.8680304,12.100000000000001
GJ 2056 b,93.0,10.37,Neptune-like,2020,Radial Velocity,16.2,4.0920000000000005
GJ 229 A c,19.0,8.15,Neptune-like,2020,Radial Velocity,8.576130000000001,2.816
GJ 229 b,19.0,8.15,Neptune-like,2014,Radial Velocity,14.85045,3.883
GJ 251 b,18.0,9.89,Super Earth,2020,Radial Velocity,4.0,1.83
GJ 27.1 b,77.0,11.45,Neptune-like,2014,Radial Velocity,13.0,3.597
GJ 273 b,19.0,9.84,Super Earth,2017,Radial Velocity,2.89,1.51
GJ 273 c,19.0,9.84,Super Earth,2017,Radial Velocity,1.18,1.06
GJ 3021 b,57.0,6.59,Gas Giant,2000,Radial Velocity,1071.0871,12.87
GJ 3082 b,54.0,11.040999999999999,Neptune-like,2020,Radial Velocity,8.2,2.739
GJ 3090 b,73.0,11.402999999999999,Neptune-like,2022,Transit,3.34,2.13
GJ 3138 b,93.0,10.8275,Super Earth,2017,Radial Velocity,1.78,1.18
GJ 3138 c,93.0,10.8275,Super Earth,2017,Radial Velocity,4.18,1.88
GJ 3138 d,93.0,10.8275,Neptune-like,2017,Radial Velocity,10.5,3.168
GJ 317 b,50.0,12.4,Gas Giant,2007,Radial Velocity,794.5749999999999,12.979999999999999
GJ 317 c,50.0,12.4,Gas Giant,2018,Radial Velocity,522.4998068,13.2
GJ 3222 b,59.0,6.9,Neptune-like,2022,Radial Velocity,11.73969,3.388
GJ 328 b,67.0,9.99,Gas Giant,2013,Radial Velocity,731.0089999999999,13.09
GJ 3293 b,66.0,11.945,Neptune-like,2015,Radial Velocity,23.54,5.093
GJ 3293 c,66.0,11.945,Neptune-like,2015,Radial Velocity,21.09,4.774
GJ 3293 d,66.0,11.945,Neptune-like,2017,Radial Velocity,7.6,2.6180000000000003
GJ 3293 e,66.0,11.945,Super Earth,2017,Radial Velocity,3.28,1.63
GJ 3323 b,18.0,12.57,Super Earth,2017,Radial Velocity,2.02,1.23
GJ 3323 c,18.0,12.57,Super Earth,2017,Radial Velocity,2.31,1.32
GJ 3341 b,77.0,12.062000000000001,Neptune-like,2015,Radial Velocity,6.6,2.409
GJ 338 B b,21.0,7.7,Neptune-like,2020,Radial Velocity,10.6,3.19
GJ 3470 b,96.0,12.332,Neptune-like,2012,Radial Velocity,13.9,4.4879999999999995
GJ 3473 b,89.0,13.74,Super Earth,2020,Transit,1.86,1.264
GJ 3473 c,89.0,13.74,Neptune-like,2020,Radial Velocity,7.41,2.585
GJ 3512 b,31.0,15.18,Gas Giant,2019,Radial Velocity,146.2018,13.97
GJ 3512 c,31.0,15.18,Gas Giant,2020,Radial Velocity,63.566,9.152000000000001
GJ 357 b,31.0,10.91,Super Earth,2019,Transit,1.84,1.217
GJ 357 c,31.0,10.91,Super Earth,2019,Radial Velocity,3.4,1.66
GJ 357 d,31.0,10.91,Neptune-like,2019,Radial Velocity,6.1,2.299
GJ 3634 b,66.0,11.937999999999999,Neptune-like,2010,Radial Velocity,8.4,2.783
GJ 367 b,31.0,10.152999999999999,Terrestrial,2021,Transit,0.546,0.718
GJ 3779 b,45.0,13.04,Neptune-like,2018,Radial Velocity,8.0,2.695
GJ 3929 b,52.0,12.675,Super Earth,2022,Transit,1.75,1.09
GJ 3929 c,52.0,12.675,Neptune-like,2022,Radial Velocity,5.71,2.2110000000000003
GJ 393 b,23.0,9.65,Super Earth,2021,Radial Velocity,1.71,1.17
GJ 3942 b,55.0,10.166,Neptune-like,2017,Radial Velocity,7.14,2.5189999999999997
GJ 3998 b,59.0,10.844000000000001,Super Earth,2016,Radial Velocity,2.47,1.38
GJ 3998 c,59.0,10.844000000000001,Neptune-like,2016,Radial Velocity,6.26,2.332
GJ 411 b,19.0,7.49,Super Earth,2019,Radial Velocity,2.69,1.45
GJ 414 A b,39.0,8.31,Neptune-like,2021,Radial Velocity,7.6,2.585
GJ 414 A c,39.0,8.31,Gas Giant,2021,Radial Velocity,53.83086709999999,8.239
GJ 422 b,41.0,11.66,Neptune-like,2014,Radial Velocity,11.07,3.267
GJ 4276 b,70.0,12.902999999999999,Neptune-like,2019,Radial Velocity,16.57,4.147
GJ 433 b,30.0,9.81,Neptune-like,2011,Radial Velocity,6.042999999999999,2.2880000000000003
GJ 433 c,30.0,9.81,Neptune-like,2014,Radial Velocity,32.422,6.16
GJ 433 d,30.0,9.81,Neptune-like,2020,Radial Velocity,5.223,2.14
GJ 436 b,32.0,10.67,Neptune-like,2004,Radial Velocity,22.1,4.0920000000000005
GJ 480 b,46.0,11.49,Neptune-like,2020,Radial Velocity,13.2,3.6300000000000003
GJ 486 b,26.0,11.39,Super Earth,2021,Radial Velocity,2.82,1.305
GJ 504 b,57.0,5.18799,Gas Giant,2013,Direct Imaging,1271.32,12.76
GJ 514 b,25.0,9.05,Neptune-like,2022,Radial Velocity,5.2,2.13
GJ 536 b,34.0,9.71,Neptune-like,2016,Radial Velocity,5.36,2.17
GJ 581 b,21.0,10.57,Neptune-like,2005,Radial Velocity,15.8,4.026
GJ 581 c,21.0,10.57,Neptune-like,2007,Radial Velocity,5.5,2.21
GJ 581 e,21.0,10.57,Super Earth,2009,Radial Velocity,1.7,1.17
GJ 625 b,21.0,10.066,Super Earth,2017,Radial Velocity,2.82,1.49
GJ 649 b,34.0,9.7,Gas Giant,2009,Radial Velocity,104.24823999999998,12.21
GJ 667 C b,24.0,10.602,Neptune-like,2011,Radial Velocity,5.6,2.23
GJ 667 C c,24.0,10.602,Super Earth,2011,Radial Velocity,3.8,1.77
GJ 667 C e,24.0,10.602,Super Earth,2013,Radial Velocity,2.7,1.45
GJ 667 C f,24.0,10.602,Super Earth,2013,Radial Velocity,2.7,1.45
GJ 667 C g,24.0,10.602,Super Earth,2013,Radial Velocity,4.6,1.99
GJ 674 b,15.0,9.38,Neptune-like,2007,Radial Velocity,11.09,3.267
GJ 676 A b,52.0,9.58,Gas Giant,2010,Radial Velocity,1837.0192604000001,12.54
GJ 676 A c,52.0,9.58,Gas Giant,2016,Radial Velocity,4271.031323,12.100000000000001
GJ 676 A d,52.0,9.58,Super Earth,2012,Radial Velocity,3.79832,1.77
GJ 676 A e,52.0,9.58,Neptune-like,2012,Radial Velocity,6.691669999999999,2.431
GJ 680 b,32.0,10.129,Gas Giant,2022,Radial Velocity,7764.984187499999,11.770000000000001
GJ 682 b,16.0,10.94,Super Earth,2014,Radial Velocity,4.4,1.93
GJ 682 c,16.0,10.94,Neptune-like,2014,Radial Velocity,8.7,2.838
GJ 685 b,47.0,9.98,Neptune-like,2019,Radial Velocity,9.0,2.8930000000000002
GJ 687 b,15.0,9.15,Neptune-like,2014,Radial Velocity,17.2,4.235
GJ 687 c,15.0,9.15,Neptune-like,2020,Radial Velocity,16.0,4.059
GJ 720 A b,51.0,9.84,Neptune-like,2021,Radial Velocity,13.64,3.696
GJ 740 b,36.0,9.22,Super Earth,2021,Radial Velocity,2.96,1.53
GJ 832 b,16.0,8.66,Gas Giant,2008,Radial Velocity,216.1244,13.75
GJ 849 b,29.0,10.41,Gas Giant,2006,Radial Velocity,286.04699999999997,13.64
GJ 849 c,29.0,10.41,Gas Giant,2014,Radial Velocity,223.11666000000002,13.75
GJ 86 b,35.0,6.12,Gas Giant,1999,Radial Velocity,1404.8085999999998,12.649999999999999
GJ 876 b,15.0,10.16,Gas Giant,1998,Radial Velocity,723.2539479999999,13.09
GJ 876 c,15.0,10.16,Gas Giant,2000,Radial Velocity,226.99418599999998,13.75
GJ 876 d,15.0,10.16,Neptune-like,2005,Radial Velocity,6.83,2.4639999999999995
GJ 876 e,15.0,10.16,Neptune-like,2010,Radial Velocity,14.6,3.8499999999999996
GJ 887 b,11.0,7.56,Super Earth,2020,Radial Velocity,4.2,1.88
GJ 887 c,11.0,7.56,Neptune-like,2020,Radial Velocity,7.6,2.6180000000000003
GJ 896 A b,20.0,10.05,Gas Giant,2022,Astrometry,718.2957999999999,13.09
GJ 9066 c,15.0,12.71,Gas Giant,2020,Radial Velocity,66.7443,9.416
GJ 9689 b,100.0,11.297,Neptune-like,2020,Radial Velocity,9.65,3.014
GJ 96 b,39.0,9.4,Neptune-like,2018,Radial Velocity,19.66,4.587000000000001
GJ 9714 b,67.0,9.37,Gas Giant,2022,Radial Velocity,3051.2601706999994,12.21
GJ 9827 b,97.0,10.37,Super Earth,2017,Transit,4.91,1.577
GJ 9827 c,97.0,10.37,Super Earth,2017,Transit,0.84,1.2409999999999999
GJ 9827 d,97.0,10.37,Neptune-like,2017,Transit,4.04,2.022
Gl 378 b,49.0,10.03,Neptune-like,2019,Radial Velocity,13.02,3.597
Gl 49 b,32.0,9.56,Neptune-like,2019,Radial Velocity,5.63,2.2
